Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Region,Route,BioRegion,ZoopAbundance_m3,CopeAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,Biomass_mgCarbon_m3,NoCopepodSpecies_Sample,ShannonCopepodDiversityCPR,CopepodEvenness,PhytoBiomassCarbon_pg_m3,AbundancePhyto_cells_m3,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversitycpr,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversitycpr,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversitycpr,DinoflagellateEvenness,sst_1d,chl_oc3_1d
-37.02857,150.45473,2009-08-24 14:20:20,2009,8,24,14:20:20,SEAC,SYME,South-east,2,2,0.87166375,,,1,0,,12772683299.0334,43333.3,0.749999062501172,10073219.0422679,1,0,,,,,1,0,,,
-37.64032,150.15317,2009-08-24 16:16:34,2009,8,24,16:16:34,SEAC,SYME,South-east,2.6667,2,1,,,,,,12708064.8502513,33333.3,,7068.58456858457,,,,,,,,,,,
-38.62285,148.54191,2009-08-24 21:07:10,2009,8,24,21:07:10,SEAC,SYME,South-east,0.6667,0.6667,1,,,,,,20332905.2014979,53333.3,,7068.5819178637,,,,,,,,,,,
-37.35111,150.33648,2009-06-29 14:34:44,2009,6,29,14:34:44,SEAC,SYME,South-east,5.3335,4.6668,1.06750168745781,,,3,1.09861228866811,1,31215746.2431128,36666.6,0.66667,10171.5111167626,1,0,,,,,1,0,,,
-38.16011,149.61635,2009-06-29 17:25:02,2009,6,29,17:25:02,SEAC,SYME,South-east,8.6669,6.0002,1.5011139628679,,,3,0.867563228481461,0.789690082142847,,,,,,,,,,,,,,,
-39.04755,146.90958,2009-06-30 00:02:23,2009,6,30,00:02:23,SEAC,SYME,South-east,8.0001,6.0001,1.53168038866019,,,1,0,,,,,,,,,,,,,,,,
-39.1708,146.09464,2009-06-30 01:55:55,2009,6,30,01:55:55,SEAC,SYME,South-east,8.0001,7.3334,1.03409121280716,,,3,0.735621939758795,0.669591945535779,,,,,,,,,,,,,,,
-33.46279,151.92174,2009-07-26 00:22:25,2009,7,26,00:22:25,NEAC,BRSY,Temperate East,24.0002,20.0001,1.14651141744291,0.933330666693333,,4,0.683738905848754,0.493213364365421,75599264.1962734,155333.4,0.987123825268745,8145.96746283585,3,1.09861228866811,1,,,,3,1.09861228866811,1,,
-27.6693,153.71232,2010-08-10 08:20:18,2010,8,10,08:20:18,NEAC,BRSY,Temperate East,117.3333,98.6668,1.29044890800151,0.851853189296696,,22,2.22317344229408,0.719230963611863,108125579.864703,36666.6,0.727272231404057,85533.178730628,2,0.636511857779211,0.918292500685089,1,0,,1,0,,,
-29.3354,153.69507,2010-08-10 14:09:36,2010,8,10,14:09:36,NEAC,BRSY,Temperate East,34.0004,28.667,1.39231865792044,0.861110069457465,,9,1.70605711564267,0.776460054761898,140011310.97466,39999.8,0.909091404960932,93777.0831015961,1,0,,,,,1,0,,,
-39.13853,146.03436,2010-02-17 03:48:47,2010,2,17,03:48:47,SEAC,SYME,South-east,11.3334,2,1.21667375,,,3,1.03972077083992,0.946394630357186,225951511.094512,26666.6,0.124999062497656,163225.70682135,2,0.636511857779211,0.918292500685089,,,,2,0.636511857779211,0.918292500685089,,
-29.66709,153.64868,2010-08-10 15:19:27,2010,8,10,15:19:27,NEAC,BRSY,Temperate East,62.6674,43.334,1.27476880421306,0.918364848028457,,19,2.27853430800267,0.773843276809125,19147336410.3763,50666.7,0.8,12918537.5188657,1,0,,,,,1,0,,,
-40.453,171.57574,2010-08-16 22:58:29,2010,8,16,22:58:29,TAS,BUNE,,50.6666,50.6666,0.968354675466678,,,2,0.598269588585257,0.863120568566631,,,,,,,,,,,,,,,
-37.33093,150.35039,2010-01-14 02:18:27,2010,1,14,02:18:27,SEAC,SYME,South-east,11.3335,5.3334,1.09062661716729,0.874995312558593,,6,0.856859036885367,0.478222133942191,9086347.72014799,1333.4,,67017.2358048764,2,0.693147180559945,1,,,,2,0.693147180559945,1,,
-38.05862,140.35027,2011-01-03 06:51:00,2011,1,3,06:51:00,Bass Strait,MEAD,South-east,92.6669,26.6667,0.912751371560786,,,3,0.603637251500326,0.549454304968807,35812474.5491192,66666.6,0.95000045000045,8048.15250648584,1,0,,,,,1,0,,,
-24.48266,112.74175,2010-04-09 11:34:20,2010,4,9,11:34:20,WA,FRBO,North-west,94.7374,79.5326,1.05314828278939,0.814814814814815,,23,2.54385152752862,0.811307995596092,46774257.2565344,145160,0.967741935483871,5040.03958976876,2,0.450561208866305,0.650022421648354,1,0,,1,0,,,
-35.36671,138.10806,2011-01-03 20:25:24,2011,1,3,20:25:24,Bass Strait,MEAD,,32.6671,26.0003,1.03845963315808,,,8,1.54030582522652,0.740730525168893,1931558.72320181,6666.6,,5112.2034495345,,,,,,,,,,,
-35.1685,151.07841,2010-10-20 18:40:20,2010,10,20,18:40:20,SEAC,SYME,Temperate East,386.6669,362.6667,1.44928538681528,0.974789606136637,,9,1.0758218369444,0.489627618424268,8456559.19217195,666.7,,143092.269886506,1,0,,,,,1,0,,,
-29.07347,153.75781,2010-05-29 18:05:15,2010,5,29,18:05:15,NEAC,BRSY,Temperate East,56.9701,27.273,1.42944390056099,0.888884814930244,,7,1.88915916375402,0.970835762725816,192015854.837216,72599.9,0.816327751695503,62837.8236200417,4,1.00537951145234,0.725228017691826,2,0.636516268720153,0.918298864327712,2,0.693147180559945,1,,
-36.06184,150.78264,2009-10-19 15:24:56,2009,10,19,15:24:56,SEAC,SYME,Temperate East,7.3334,7.3334,1.00681566531213,,,3,1.05492016798614,0.960229717860761,27509651.1461613,13333.3,0.66667,20081.0934827337,,,,,,,,,,,
-36.3839,150.67434,2009-10-19 16:19:56,2009,10,19,16:19:56,SEAC,SYME,Temperate East,20.667,20.667,1.09161116756181,0.888890123443073,,8,1.83437197028162,0.882146448223672,20155779.0605163,9999.9,,18307.5806348341,1,0,,,,,1,0,,,
-39.04433,146.92406,2009-10-20 04:15:04,2009,10,20,04:15:04,SEAC,SYME,South-east,2.6668,2.6668,1.24875,,,3,1.09861228866811,1,,,,,,,,,,,,,,,
-31.56946,153.16011,2010-01-11 23:02:40,2010,1,11,23:02:40,NEAC,BRSY,Temperate East,1.3334,1.3334,0.9275,,,,,,,,,,,,,,,,,,,,
-31.89136,153.05835,2010-01-12 00:03:56,2010,1,12,00:03:56,NEAC,BRSY,Temperate East,0.6667,0.6667,0.855,,,,,,1270804.32337325,3333.3,,7068.64818648186,,,,,,,,,,,
-32.50435,152.74635,2010-01-12 02:06:28,2010,1,12,02:06:28,NEAC,BRSY,Temperate East,2.6668,0.6667,1,,,,,,226858376.368427,23333.3,0.428572040817201,228898.19424742,3,1.01140310944955,0.920618784153338,1,0,,2,0.636511857779211,0.918292500685089,,
-33.04769,152.28645,2010-01-12 04:09:01,2010,1,12,04:09:01,NEAC,BRSY,Temperate East,6.6669,4.0002,1.2125,0.8,,2,0.693147180559945,1,383012510.627605,53333.2,0.533333066666133,135643.039003431,2,0.636514168294813,0.918295834054489,1,0,,1,0,,,
-35.66744,138.04504,2010-10-23 21:35:35,2010,10,23,21:35:35,Bass Strait,MEAD,,3.3335,3.3335,1.007,,,3,1.09861228866811,1,2541615.85223524,6666.7,,7068.54215728921,,,,,,,,,,,
-38.42384,144.44171,2010-10-23 02:14:16,2010,10,23,02:14:16,Bass Strait,MEAD,South-east,4.6668,1.3334,0.8125,,,1,0,,28360222.89829,6000.1,0.222229629506175,76095.0228607301,3,0.796331347068718,0.724852029494537,,,,3,0.796331347068718,0.724852029494537,,
-38.48148,144.36503,2010-10-23 02:28:47,2010,10,23,02:28:47,Bass Strait,MEAD,South-east,,,,,,,,,,,,,,,,,,,,,,,
-39.00002,143.34971,2010-10-23 05:22:59,2010,10,23,05:22:59,Bass Strait,MEAD,South-east,,,,,,,,,,,,,,,,,,,,,,,
-38.91734,142.93623,2010-10-23 06:21:03,2010,10,23,06:21:03,Bass Strait,MEAD,South-east,,,,,,,,,100562629.631751,13333.2,0.5,96289.6041460415,1,0,,,,,1,0,,,
-37.51751,139.81241,2010-10-23 14:49:07,2010,10,23,14:49:07,Bass Strait,MEAD,South-east,215.3337,200.6669,1.14360481723692,0.927927221818319,,7,0.633574610087526,0.325592941891541,167193944.426669,23333.3,0.714288163268805,143638.187983126,2,0.693147180559945,1,,,,2,0.693147180559945,1,,
-28.88466,153.78643,2010-03-09 22:07:27,2010,3,9,22:07:27,NEAC,BRSY,Temperate East,18.6666,6.6667,1.07500337498313,0.5,,1,0,,116094670.273732,33333.4,0.9000011999976,107394.602460795,1,0,,1,0,,,,,,
-31.50267,153.17814,2010-03-10 06:04:08,2010,3,10,06:04:08,NEAC,BRSY,Temperate East,51.3334,19.3335,0.917589520779993,0.714279592011657,,6,1.79175946922806,1,169078124.462962,82666.7,0.927418174428155,45282.618565174,6,0.840930693553798,0.469332356265485,1,0,,5,1.30311624644453,0.809671647708182,,
-33.25922,152.09563,2010-03-10 12:01:39,2010,3,10,12:01:39,NEAC,BRSY,Temperate East,122.0002,94.6669,1.25619881922826,0.937499560549278,,18,2.31282723839822,0.800183309319932,58539864.8494602,18000,0.769230325442934,38852.8471728395,2,0.450574620598912,0.650041770688476,,,,2,0.450574620598912,0.650041770688476,,
-38.41714,149.27062,2010-10-21 05:29:10,2010,10,21,05:29:10,SEAC,SYME,South-east,1117.3333,1106.6666,1.23925291817789,,,7,0.171639632486735,0.0882053226198861,,,,,,,,,,,,,,,
-37.19822,150.39888,2010-12-31 13:56:56,2010,12,31,13:56:56,SEAC,SYME,South-east,34.6668,34.0001,1.26627864329811,,,7,0.893832808838645,0.459339198817878,1270804.32337325,3333.3,,7068.64818648186,,,,,,,,,,,
-29.29958,153.71577,2010-10-17 10:50:05,2010,10,17,10:50:05,NEAC,BRSY,Temperate East,103.3337,46.667,0.899134103473238,0.756095062487195,,11,1.79110873315462,0.746950358288325,223662854.5706,113333.2,0.939394490358628,55352.3050205549,2,0.693147180559945,1,1,0,,1,0,,,
-30.28578,153.51637,2010-10-17 15:23:21,2010,10,17,15:23:21,NEAC,BRSY,Temperate East,176.0004,146.0003,1.71577502922939,0.928572740519426,,23,2.57597289361564,0.821552430404435,592715753.294671,439999.8,,46797.7883954641,2,0.562333084706242,0.811275152633489,2,0.562333084706242,0.811275152633489,,,,,
-32.78884,152.50525,2010-10-18 03:32:03,2010,10,18,03:32:03,NEAC,BRSY,Temperate East,30.0002,22.6668,1.14867522102811,,,5,0.548117880441845,0.340564787375287,759374369.902135,536666.7,0.993788882373361,49070.8556431922,2,0.10473284387749,0.151097554480252,2,0.10473284387749,0.151097554480252,,,,,
-39.89224,149.31732,2010-09-17 13:34:33,2010,9,17,13:34:33,SEAC,HOSY,South-east,53.3334,42.6667,1.19906192651412,0.941178027679371,,10,2.00755630743784,0.871870626430321,6393748572.13198,40666.5,0.857143469391254,5368662.29396603,4,1.33217654484329,0.960962247417005,,,,1,0,,,
-39.24363,149.51944,2010-09-17 17:29:55,2010,9,17,17:29:55,SEAC,HOSY,South-east,59.3335,58.0001,0.980122313105647,,,10,1.10464263691618,0.479740201687755,60067373.1756347,303333.3,,3152.01915933361,1,0,,,,,,,,,
-38.9192,149.61909,2010-09-17 19:27:36,2010,9,17,19:27:36,SEAC,HOSY,South-east,111.3337,97.3335,1.21120057328669,0.991999616000768,,19,1.63716625124374,0.55601975888365,64132431.230453,300666.7,,3279.74529418936,,,,,,,,,,,
-26.9415,112.72444,2010-04-08 23:07:52,2010,4,8,23:07:52,WA,FRBO,South-west,66.6672,56.0005,1.53065362809261,0.839505189766761,,22,2.55420134168256,0.82632360448738,41378869.5797076,9333.4,0.4166625,44436.9043435404,4,1.14372180115886,0.825020885344238,1,0,,3,0.796331347068718,0.724852029494537,,
-30.64749,153.41497,2010-08-10 18:49:02,2010,8,10,18:49:02,NEAC,BRSY,Temperate East,228.0006,150.0006,1.26327180291721,0.887637779350794,,27,2.62911740987098,0.797708599290704,153576230.216037,54000.1,0.87499765625293,46270.9616078386,6,1.49789027741288,0.835988481231923,,,,6,1.49789027741288,0.835988481231923,,
-31.62247,153.14486,2010-08-10 22:18:36,2010,8,10,22:18:36,NEAC,BRSY,Temperate East,83.3336,72.0002,0.786263697982014,0.904757823158406,,4,1.16828245017656,0.842737648613667,68485590.7703214,16666.7,,160220.769558461,1,0,,1,0,,,,,,
-42.2911,148.85701,2010-11-07 10:45:51,2010,11,7,10:45:51,SEAC,SYHO,South-east,578.6671,128.0004,1.4762495351577,,,8,1.76776147228933,0.850113569848796,27150566.3161577,13333.3,0.750001875004688,51607.289747391,,,,,,,,,,,
-38.89141,147.54157,2010-12-31 23:04:15,2010,12,31,23:04:15,SEAC,SYME,South-east,36.0002,24.6669,1.21905136032497,,,7,1.48445753581749,0.762860266974891,68076983.7109373,16666.6,0.1999987999952,39526.5503841182,2,0.693147180559945,1,1,0,,1,0,,,
-39.20217,146.32137,2011-01-01 02:06:42,2011,1,1,02:06:42,SEAC,SYME,,9.3335,8.0001,1.01624935938301,,,4,1.27703425946614,0.921185496588554,6624077.15873662,1333.4,,192936.339016383,,,,,,,,,,,
-28.28069,153.80242,2009-12-12 11:29:33,2009,12,12,11:29:33,NEAC,BRSY,Temperate East,37.3335,20.6668,1.17923368044538,0.875000781245117,,9,1.52887832732422,0.695822513135068,20205416.2325814,2000.1,0.333333333333333,205938.380858735,3,1.09861228866811,1,1,0,,2,0.693147180559945,1,,
-28.61442,153.82329,2009-12-12 12:33:51,2009,12,12,12:33:51,NEAC,BRSY,Temperate East,98.0002,91.3335,1.07275404311489,0.97413798677158,,16,1.36121818797687,0.490955682340523,6415768785.35969,8000,,27314247.0022222,3,0.796331347068718,0.724852029494537,,,,3,0.796331347068718,0.724852029494537,,
-28.94548,153.77583,2009-12-12 13:38:09,2009,12,12,13:38:09,NEAC,BRSY,Temperate East,392.6671,384.6671,1.08872808148076,0.981549470323562,,22,1.14749769235343,0.371233235928777,33255170.0979348,3333.3,,395844.298442984,1,0,,1,0,,,,,,
-34.75014,151.17963,2010-02-16 03:32:30,2010,2,16,03:32:30,SEAC,SYME,Temperate East,41.3336,14.6669,1.20887662014468,0.666660000199994,,9,1.6313454208086,0.742457297099025,,57333.2,0.915492898234435,13593.9196183697,1,0,,,,,1,0,,,
-40.57302,160.89373,2010-08-15 11:25:01,2010,8,15,11:25:01,TAS,BUNE,,60.6669,58.6669,1.02965790761059,,,4,1.0688206728265,0.770991142143199,149415607.766657,49999.9,,156539.306882433,,,,,,,,,,,
-40.51008,167.01388,2010-08-16 07:13:39,2010,8,16,07:13:39,TAS,BUNE,,184.0001,131.3334,0.702296725179407,,,6,1.65655112669665,0.924538787234844,187885797.159185,124000,,57607.7234264813,1,0,,1,0,,,,,,
-28.42404,153.81137,2009-10-16 19:54:31,2009,10,16,19:54:31,NEAC,BRSY,Temperate East,0,,,,,,,,3409564.16687449,10655,,5759.58166666667,,,,,,,,,,,
-39.24222,148.83333,2010-11-06 07:51:00,2010,11,6,07:51:00,SEAC,SYHO,South-east,3.3335,1.3334,3.555,,,,,,4687522.41184805,3333.3,,35343.2409324093,,,,,,,,,,,
-39.00012,143.48587,2011-01-02 19:59:30,2011,1,2,19:59:30,Bass Strait,MEAD,South-east,47.3336,40.6668,1.49335918980594,0.981480658440787,,11,1.17697350865248,0.490836076956331,,,,,,,,,,,,,,,
-35.54354,150.95502,2010-03-23 07:47:45,2010,3,23,07:47:45,SEAC,SYME,Temperate East,115.334,76.0005,1.37640791179005,0.826086389419228,,24,1.75233092249698,0.551384909142689,,6666.7,,,,,,,,,,,,,
-38.39543,149.34587,2009-07-27 20:12:48,2009,7,27,20:12:48,SEAC,SYME,South-east,25.7427,20.0918,0.840325371585345,,,6,0.98689944883853,0.550799069734353,326670426.562902,148651.9,,79795.7730049794,1,0,,1,0,,,,,,
-38.00397,149.79104,2010-03-23 17:05:48,2010,3,23,17:05:48,SEAC,SYME,South-east,129.3338,77.3335,1.1525682430588,0.956987235525047,,20,1.74871725946709,0.583736161907586,4426884.53818049,666.7,,64922.947185974,1,0,,,,,1,0,,,
-38.55432,148.78669,2010-03-23 20:35:05,2010,3,23,20:35:05,SEAC,SYME,South-east,71.3338,55.3337,1.08836014136889,0.968748681650925,,14,1.518213896535,0.57528644016094,,10666.6,,64591.3020816761,2,0.450574620598912,0.650041770688476,,,,2,0.450574620598912,0.650041770688476,,
-38.77505,147.98344,2010-03-23 22:54:35,2010,3,23,22:54:35,SEAC,SYME,South-east,600.6673,315.3339,1.30578874963268,0.921759932987906,,43,1.98404533332966,0.527503262868479,,18000,,76753.5814321023,4,1.26374633744287,0.911600286985209,,,,4,1.26374633744287,0.911600286985209,,
-38.9867,147.17379,2010-03-24 01:14:06,2010,3,24,01:14:06,SEAC,SYME,South-east,202.6668,116.0001,1.02705127482585,0.973855907984404,,15,1.49463362165,0.551922420434327,250424731.379342,29999.8,0.222224814832099,99787.8410624589,6,1.79175946922806,1,,,,6,1.79175946922806,1,,
-39.1322,146.60143,2010-06-05 09:33:12,2010,6,5,09:33:12,SEAC,SYME,South-east,19.9999,15.9999,0.998539928374552,,,5,1.3421131789144,0.833901804192372,,,,,,,,,,,,,,,
-39.03376,145.82164,2010-06-05 11:28:54,2010,6,5,11:28:54,SEAC,SYME,South-east,26.6669,16.0002,1.11739257181987,,,8,1.28163404989256,0.616335696004814,17332263.7336464,10666.6,0.909085950390684,28644.6894134234,2,0.450574620598912,0.650041770688476,,,,1,0,,,
-40.70122,149.41105,2010-08-13 16:44:27,2010,8,13,16:44:27,TAS,BUNE,South-east,3.3335,3.3335,1.596,,,3,0.950270539233235,0.864973520717927,77656090.6027793,74000,,12811.9441281907,,,,,,,,,,,
-40.68738,151.16389,2010-08-13 22:55:49,2010,8,13,22:55:49,TAS,BUNE,South-east,3.3334,3.3334,0.840014399712006,,,1,0,,15908033.4638311,43333.3,,6766.50674346673,,,,,,,,,,,
-40.64293,154.6661,2010-08-14 11:18:32,2010,8,14,11:18:32,TAS,BUNE,,21.3335,18.0002,0.985389707791271,0.952378911579203,,7,1.04418684831137,0.536605890471509,114372605.268693,3e+05,,7068.5775,,,,,,,,,,,
-40.64292,155.54183,2010-08-14 14:24:13,2010,8,14,14:24:13,TAS,BUNE,,28.6669,27.3335,1.29668173706356,0.945943754586105,,8,0.861745118677501,0.414411803075434,114372605.268693,3e+05,,7068.5775,,,,,,,,,,,
-40.62045,157.29272,2010-08-14 20:35:34,2010,8,14,20:35:34,TAS,BUNE,,6.6667,6,1.10223183333333,,,5,1.07513932400537,0.668021621523344,115033359.668521,303333.3,,7025.57991660219,,,,,,,,,,,
-49.225,150.0928,2009-02-18 03:21:00,2009,2,18,03:21:00,SO,ANHO,,22,20.6667,1.07967750052016,,,,,,8944991669.60539,199999.9,0.745762625682246,996166.984914604,6,1.24180587427896,0.693065054548848,3,0.654670297599237,0.595906585382291,2,0.450562550062065,0.650024356584827,,
-49.1057,150.0465,2009-02-18 04:16:00,2009,2,18,04:16:00,SO,ANHO,,20.6666,20.6666,1.08387102861622,,,,,,3653144268.69783,130666.6,0.820512938856107,619747.263556066,8,1.7419227068929,0.837687750282087,6,1.38117343142046,0.770847569186006,2,0.682908280831839,0.985228390138102,,
-48.6137,149.9878,2009-02-18 06:37:00,2009,2,18,06:37:00,SO,ANHO,,10,8.6666,1.53614854729652,,,2,0.636514168294813,0.918295834054489,872945629.738378,6666.6,,2846145.3769746,2,0.693147180559945,1,,,,2,0.693147180559945,1,,
-48.4293,149.9447,2009-02-18 07:59:00,2009,2,18,07:59:00,SO,ANHO,,161.3334,160,3.75,,,1,0,,5484238.05730511,3333.3,,42891.0539105391,1,0,,1,0,,,,,,
-48.0318,150.0333,2009-02-18 10:11:00,2009,2,18,10:11:00,SO,ANHO,,61.3334,54.6667,2.78207574263674,,,3,0.639560955862961,0.582153469845422,1768075528.96575,40000,0.8333325,984926.195452674,4,1.33217654484329,0.960962247417005,3,1.09861228866811,1,1,0,,,
-47.9612,150.0548,2009-02-18 10:39:00,2009,2,18,10:39:00,SO,ANHO,,152,140,1.59457245714286,,,4,0.745958433183835,0.53809526613181,3452530275.28964,40000,0.583335,1894563.93871479,4,1.27302833657713,0.918295834045473,2,0.693147180559945,1,2,0.5004007599738,0.72192569487127,,
-46.5568,150.0195,2009-02-18 18:16:00,2009,2,18,18:16:00,SO,ANHO,,12.6667,6.0001,2.05000016666389,,,3,0.974314752869349,0.886859507142915,,,,,,,,,,,,,,,
-46.3128,150.03,2009-02-18 19:34:00,2009,2,18,19:34:00,SO,ANHO,South-east,5.3333,2,1,,,,,,,,,,,,,,,,,,,,
-46.0635,150.0063,2009-02-18 20:42:00,2009,2,18,20:42:00,SO,ANHO,South-east,4,0.6667,1.43,,,1,0,,,,,,,,,,,,,,,,
-41.1937,160.76077,2012-06-17 06:30:39,2012,6,17,06:30:39,TAS,NEBU,,3.3333,2.6666,0.68,,,,,,4659463.1819675,666.7,,69111.5244237788,1,0,,,,,1,0,,,
-41.15891,156.34629,2012-06-17 21:47:55,2012,6,17,21:47:55,TAS,NEBU,,46.0002,30.6668,0.945245724111438,0.949998125023437,,6,1.32692019405069,0.740568260885133,14925167.9542709,4000,,47560.1819444445,1,0,,,,,1,0,,,
-35.16908,151.08155,2011-03-07 23:56:27,2011,3,7,23:56:27,SEAC,SYME,Temperate East,5.3334,3.3333,0.9510018600186,,,2,0,0,166271.914472268,666.7,,4188.57723780478,,,,,,,,,,,
-37.71869,150.15642,2011-03-08 10:47:52,2011,3,8,10:47:52,SEAC,SYME,South-east,7.3333,7.3333,0.927725989663589,,,4,0.304636097349238,0.219748493460757,,,,,,,,,,,,,,,
-38.76595,148.02324,2011-03-08 18:56:25,2011,3,8,18:56:25,SEAC,SYME,South-east,46.0001,39.3334,0.937586049494785,,,5,0.332616834431984,0.206666459055222,,,,,,,,,,,,,,,
-38.76459,145.2837,2011-03-09 04:26:24,2011,3,9,04:26:24,SEAC,SYME,South-east,1.3333,1.3333,0.975,,,1,0,,,,,,,,,,,,,,,,
-38.86715,142.6915,2011-03-10 21:26:17,2011,3,10,21:26:17,Bass Strait,MEAD,South-east,61.3335,53.3335,1.08037633007397,0.971427346947522,,8,1.71294454939,0.82375220224091,218120719.06518,16666.7,,148691.157317685,2,0.673012153563413,0.970951296403937,,,,2,0.673012153563413,0.970951296403937,,
-38.08192,140.37356,2011-03-11 03:48:16,2011,3,11,03:48:16,Bass Strait,MEAD,South-east,62.0003,56.0002,1.08283044629384,,,9,1.07643475143802,0.489906567831596,14914364.4364363,1333.4,0.5,262388.185340733,1,0,,,,,1,0,,,
-47.2917,134.0867,2008-11-25 16:52:00,2008,11,25,16:52:00,SO,HOAN,,0.6667,0.6667,1,,,,,,28291088.6965967,13333.3,,66497.1545762198,2,0.562333084706242,0.811275152633489,2,0.562333084706242,0.811275152633489,,,,,
-47.377,133.876,2008-11-25 17:41:00,2008,11,25,17:41:00,SO,HOAN,,4,4,1.664196625,,,,,,116345126.499923,53333.3,,68520.4199085958,3,0.927617796422802,0.844354105621182,3,0.927617796422802,0.844354105621182,,,,,
-47.4592,133.6617,2008-11-25 18:30:00,2008,11,25,18:30:00,SO,HOAN,,7.3333,6.6666,1.5889921399214,,,1,0,,28434557.3611302,16666.6,,53293.803841882,2,0.562333084706242,0.811275152633489,2,0.562333084706242,0.811275152633489,,,,,
-47.5012,133.5528,2008-11-25 18:55:00,2008,11,25,18:55:00,SO,HOAN,,5.3334,1.3334,2.44,,,1,0,,19988356.5816682,6666.6,,104960.716273829,1,0,,1,0,,,,,,
-48.1923,132.499,2008-11-25 23:41:00,2008,11,25,23:41:00,SO,HOAN,,0,,,,,,,,,,,,,,,,,,,,,,
-48.6982,131.8472,2008-11-26 02:16:00,2008,11,26,02:16:00,SO,HOAN,,0,,,,,,,,,,,,,,,,,,,,,,
