NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,Year,Month,Day,Time_24hr,ZoopAbundance_m3,CopeAbundance_m3,Biomass_mgm3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,PhytoBiomassCarbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,CTD_SST_C,CTDChlF_mgm3,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity_umol_L,Chla_mgm3
NSI20110119,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00,60,2011,1,19,10:00:00,2564.3652,1831.3835,13.66304,0.747637003601797,0.972167266520723,28,2.86407851634915,0.859514626909426,61343069.3980379,472981,0.983640103370075,3186.26318987443,14,1.90878690185192,0.723283606017836,14,1.90878690185192,0.723283606017836,,,,26.7273888888889,0.529266666666667,1.32857142857143,0.214285714285714,0.225714285714286,2.27142857142857,,,2008.184,2300.166,35.1177142857143,
ROT20110622,Rottnest Island,-32,115.41667,2011-06-22 10:00:00,50,2011,6,22,10:00:00,2554.0066,1744.5829,5.90958,0.820196161755658,0.856573928168129,33,2.82707969033734,0.808543851440042,17943299.0489359,429060,0.471111111111111,872.343973150608,17,1.72794917496582,0.609890243031249,13,1.62948344081249,0.635288738185906,4,1.33217904021012,0.960964047443681,21.3044,0.568514285714286,2.18333333333333,0.0933333333333333,0.155,0.56,,,2013.7825,2304.655,35.1701666666667,
PHB20090223,Port Hacking,-34.11923,151.22667,2009-02-24 09:27:00,100,2009,2,24,09:27:00,1199.9905,805.1015,140.08416,0.710051513237667,0.969014068351383,29,2.56485292838567,0.761695157742041,19267986.6186625,234611,0.871319733206821,1738.6511528445,10,1.44643851400065,0.628180265042823,10,1.44643851400065,0.628180265042823,,,,22.8491,1.20667,2.59,0.551,0.705,5.61,,,2085.55166666667,2319.77833333333,35.3524,
YON20091123,Yongala,-19.30847,147.61842,2009-11-23 11:45:00,28.9,2009,11,23,11:45:00,5902.9305,4189.1766,24.45499,0.86938433167675,0.925490258718392,26,2.53331915448998,0.777545761743563,18185441.8185932,149277,0.635458621475796,2928.62710229975,10,1.8902648335262,0.820931586536195,9,1.8510110122728,0.842431416144478,1,0,,26.9825777777778,0.0994444444444444,1.375,0.05,0.0925,0.025,,,1987.585,2301.9625,35.34225,
KAI20091215,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00,110,2009,12,16,07:15:00,1193.5084,777.9906,0.76738,0.758444135335164,,20,2.41596505614175,0.806468948333481,13869567.0734943,386551,0.0762668045501551,496.260273728434,14,2.36433305907342,0.895900605318834,10,2.0544830162612,0.892250637126188,4,1.2702080650137,0.916261438146215,,,0.58,0.153,0.133,0.74,,,2101.12857142857,2350.21714285714,35.7688,
KAI20091115,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00,110,2009,11,16,08:30:00,1218.2623,1067.9685,3.18268,0.665374429735081,0.982934967806542,19,1.48177032984826,0.503243687620162,107236747.712068,889185,0.928738609035558,2998.63311200706,11,1.16916899117347,0.487581340368145,10,1.16842398411669,0.507440088825289,1,0,,17.2926111111111,0.0740444444444444,0.77,0.272,0.532,0.9,,,2092.78857142857,2341.03857142857,35.5845,
MAI20090601,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,86,2009,6,1,11:20:00,1036.5834,939.3346,36.12348,0.749729447845315,0.981818178078944,13,1.62627918199855,0.634039489812008,10750320.8495598,355035,0.90540993497352,333.667001056234,3,0.193226883808415,0.175882689281285,3,0.193226883808415,0.175882689281285,,,,13.6757,0.314833333333333,1.15555555555556,0.341111111111111,0.135555555555556,3.67777777777778,,,2090.94166666667,2319.83666666667,35.2583333333333,
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,2009,10,8,06:00:00,,,,,,,,,16402979.2299411,587697,0.106709265175719,312.195147431415,8,1.6847499454193,0.810193463798123,7,1.5891569264279,0.816665110256703,1,0,,15.30151,0.0774777777777778,,,,,,,2101.05833333333,2354.605,35.8673,
PHB20100510,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,100,2010,5,11,09:13:00,1690.3599,1326.1192,17.7806,0.723481077531744,0.982954630354283,26,2.73675503631718,0.839985864255301,8544980.5767179,250275,0.256032171581769,571.547833343322,11,1.44658951382585,0.603274684360031,9,1.37502256587572,0.625799738478582,2,0.693147180559945,1,22.5587444444444,1.46262222222222,1.94,0.418,0.087,4.65,,,2061.55666666667,2321.785,35.4287,
NSI20100520,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,60,2010,5,21,08:21:00,3275.9162,2382.192,15.907,0.666056958145648,0.93772912053492,38,2.94359684466662,0.809217078417747,55925505.9435538,540240,0.964472500281183,2462.96580005183,11,1.48071066175572,0.617504308279365,11,1.48071066175572,0.617504308279365,,,,24.5212888888889,0.302077777777778,0.571428571428571,0.00714285714285714,0.125714285714286,0.157142857142857,,,1982.494,2309.484,35.2304285714286,
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,2011,9,15,09:43:00,499.5056,388.1115,1.45696,0.738685617034171,0.966665975428364,30,2.65539766924398,0.780724365942648,45668167.1862241,522752,0.945288466648166,1271.28223486472,16,1.89871567594247,0.684816922435083,15,1.87571029519696,0.692642364766179,1,0,,17.5394555555556,2.11203333333333,0.51,0.173,0.101,1.19,,,2061.43666666667,2333.52833333333,35.5544,
NSI20110915,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,60,2011,9,15,11:10:00,1887.1072,1456.3194,9.29087,0.64138362367855,0.977973651586554,28,2.52418280457917,0.75751137028695,57021675.8541585,384423,0.91073865321863,3786.24566183605,19,2.04087614704055,0.693129034590595,18,2.02784779084251,0.701587186943223,1,0,,21.13691,0.24186,1.24285714285714,0.25,0.145714285714286,2.47142857142857,,,2041.452,2328.556,35.559,
KAI20111026,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,110,2011,10,26,14:40:00,463.9646,323.9265,0.5941,0.834266381770858,0.951219834619543,20,2.01022928804592,0.671031021627671,12636515.9154772,326940,0.0974099099099099,643.780254052731,15,2.48378212598744,0.91718466850301,8,1.87918035577465,0.903694726737349,7,1.88915916375402,0.970835762725816,15.9655818181818,0.171336363636364,0.622222222222222,0.232222222222222,0.296666666666667,0.444444444444444,,,2098.10857142857,2355.20714285714,35.8946666666667,
KAI20111115,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00,110,2011,11,15,11:30:00,299.5263,189.5469,2.34104,0.678823229778867,0.964286495775985,25,2.27717369031111,0.707443782925161,45371268.7709264,360630,0.877526211821912,3258.568114605,26,2.14968873470866,0.659798968392167,17,1.95706071914169,0.690756565596233,9,2.05413511441829,0.934877178967566,17.07962,0.15255,0.3,0.0925,0.02875,0.075,,,2095.21666666667,2359.61333333333,35.913125,
DAR20120729_19:30,Darwin,-12.4,130.76805,2012-07-30 05:00:00,25,2012,7,30,05:00:00,,,49.6622,,,,,,,,,,,,,,,,,,,,,8.16666666666667,0.186666666666667,0.133333333333333,0.0333333333333333,,,1977.32,2276.54333333333,34.0053333333333,
DAR20120729_22:30,Darwin,-12.4,130.76805,2012-07-30 08:00:00,25,2012,7,30,08:00:00,,,29.32068,,,,,,,,,,,,,,,,,,,,,7.76666666666667,0.183333333333333,0.283333333333333,0,,,1974.49,2263.77666666667,33.9923333333333,
MAI20120724,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00,86,2012,7,24,10:50:00,205.9376,192.4166,1.76815,1.02043188061737,0.979675730942041,25,2.55578332571746,0.793998732716604,348529.467186695,23125,0.0476190476190476,118.577231927928,1,0,,,,,,,,,,1.78888888888889,0.161111111111111,0.07,2.91111111111111,,261.933333333333,2096.04714285714,2328.36857142857,35.3471111111111,
MAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,86,2012,8,20,11:15:00,192.2863,161.344,1.94939,1.17946290599247,0.989052044072541,26,2.11732230655423,0.649864815804384,1501562.05978825,32510,0.463350785340314,1231.88620783349,5,1.42706104338072,0.886682880001534,3,1.03972077083992,0.946394630357186,1,0,,12.1844333333333,0.155355555555556,0.788888888888889,0.315555555555556,0.126666666666667,3.16666666666667,,269.566666666667,2097.90285714286,2322.95571428571,35.2802222222222,
NSI20120229,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00,60,2012,3,1,09:45:00,1652.4241,1121.9766,9.09155,0.716037110493776,0.94505513850384,34,2.83209171242519,0.803120297160615,5173101.23978501,442146.53,0.79961116722142,451.045275885992,7,1.20093924920468,0.617160689453059,7,1.20093924920468,0.617160689453059,,,,26.18774,0.26101,3.57142857142857,0.165714285714286,0.0985714285714286,2.98571428571429,,,2034.266,2314.026,35.3045714285714,
NSI20120806,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00,60,2012,8,6,10:15:00,1649.2094,1392.0228,7.4134,0.743799749718987,0.947368499385102,36,3.05554438706101,0.852665896158884,24503705.2395072,133747.34,0.891651298892156,3230.76864436669,15,1.56705507367675,0.57866544462098,14,1.46842799642679,0.556421408488641,1,0,,,,0.728571428571429,0.178571428571429,0.167142857142857,1.21428571428571,,,2030.874,2321.294,35.46,
NSI20120821,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00,60,2012,8,21,10:15:00,2266.4573,1864.6033,14.00381,0.637924363085344,0.965753554532662,34,2.85496904971068,0.809607817970184,24739816.5650097,167942.57,0.950744463833539,4607.03570288951,11,1.74268483934177,0.726756026049476,10,1.71346166130801,0.744146944458846,1,0,,21.0771,0.348877777777778,0.771428571428571,0.214285714285714,0.221428571428571,1.88571428571429,,,2031.704,2328.122,35.4894285714286,
NSI20120912,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00,60,2012,9,12,10:20:00,2214.3782,1332.2274,19.01896,0.603828731488738,0.95583577216227,31,2.38699222783649,0.695108072831147,42603436.235614,126615.21,0.916666786689846,8176.40173953702,13,1.8820668457963,0.733763744816754,12,1.84384897907568,0.742019415189295,1,0,,21.0916777777778,0.225666666666667,1.4,0.361428571428571,0.117142857142857,3.45714285714286,,,2052.954,2327.404,35.4998571428571,
ROT20130125,Rottnest Island,-32,115.41667,2013-01-25 10:10:00,50,2013,1,25,10:10:00,2679.7429,1705.2909,25.53221,0.608219960887612,0.972451936263141,23,2.33591854521771,0.744992139787923,33598880.3302439,193320.41,0.953778434882755,3326.6944649215,11,1.24597858713585,0.519613429856668,10,1.23111935460392,0.534668342268775,1,0,,22.4522625,0.2304125,0.65,0.08,0.0216666666666667,0.183333333333333,,,2043.79333333333,2335.50333333333,35.6726666666667,
MAI20121112,Maria Island,-42.59667,148.23333,2012-11-13 10:45:00,86,2012,11,13,10:45:00,763.2559,674.8478,17.11135,1.39340608949159,,24,1.69277327302607,0.532644619440174,2573740.18552421,158060,0.236641221374046,161.132816720444,5,0.997392859477046,0.619715027073395,4,1.2498367981128,0.901566675278939,,,,13.3033666666667,0.348811111111111,1.24444444444444,0.334444444444444,0.417777777777778,1.83333333333333,,270.988888888889,2079.74833333333,2308.82166666667,35.0495555555556,
MAI20130129,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,86,2013,1,30,10:33:00,655.6923,543.7088,18.95908,1.21585343845823,,10,1.2503130409386,0.543004054331306,17595377.1886716,534000,0.634382566585956,553.707337375156,5,1.24766590361935,0.775218412577589,4,1.16132563695186,0.83771936864383,,,,16.1932222222222,0.442033333333333,0.566666666666667,0.244444444444444,0.16,0.3,,,2063.55666666667,2316.82333333333,35.1347777777778,
KAI20130220,Kangaroo Island,-35.83217,136.44733,2013-02-21 07:20:00,110,2013,2,21,07:20:00,18.4597,10.7504,4.10212,0.669812704643548,0.977975708502024,20,2.43683373906248,0.813435085830131,,,,,,,,,,,,,,19.1788888888889,2.20176666666667,,,,,,,2104.68166666667,2368.74166666667,36.10275,
NSI20130326,North Stradbroke,-27.345,153.562,2013-03-26 11:10:00,60,2013,3,26,11:10:00,3227.6941,2481.8526,8.80864,0.871801675091762,0.963636310165249,39,2.83283860505342,0.773247150910142,29385940.6337871,2134360.77,0.994718155570451,248.789431660723,21,1.68881043109404,0.554704544190144,17,1.57870913890122,0.557215058376448,2,0.693147180559945,1,25.5413,0.30832,2.11428571428571,0.254285714285714,0.294285714285714,2.82857142857143,,,2012.294,2295.944,34.9388571428571,
MAI20130313,Maria Island,-42.59667,148.23333,2013-03-14 10:00:00,86,2013,3,14,10:00:00,523.8173,321.5841,4.51764,0.83872852233677,,19,1.77779554175033,0.603780738649783,43240004.031791,39967.45,0.964705921366796,36557.628461719,9,1.37319396232367,0.62496750513707,8,1.31446307342387,0.632123119153426,,,,17.489,0.267977777777778,1.05555555555556,0.326666666666667,0.0788888888888889,2.02222222222222,,239.866666666667,2074.625,2322.06,35.2545555555556,
MAI20130424,Maria Island,-42.59667,148.23333,2013-04-24 10:50:00,86,2013,4,24,10:50:00,1242.132,811.1432,8.31689,0.823949616319148,0.973484843940635,26,2.30202779357316,0.706556041759002,3328889.2208855,40094.06,0.535558168102753,2065.53572485007,6,1.43066091981566,0.798467062340701,5,1.19878095984506,0.744844489236637,,,,16.4932555555556,0.163944444444444,0.244444444444444,0.232222222222222,0.416666666666667,1.06666666666667,,238.071428571429,2071.35333333333,2326.88166666667,35.356,
MAI20130214,Maria Island,-42.59667,148.23333,2013-02-14 11:00:00,86,2013,2,14,11:00:00,828.5077,560.299,9.89238,0.93504854907826,,16,1.69798194712163,0.612417533657841,32038938.2609197,27224.97,0.938162832172629,39475.3421163378,7,1.50867639124086,0.775306296631057,7,1.50867639124086,0.775306296631057,,,,,,0.755555555555556,0.287777777777778,0.32,0.888888888888889,,247.266666666667,2069.55666666667,2325.73666666667,33.7898888888889,
PHB20121120,Port Hacking,-34.11923,151.22667,2012-11-21 09:30:00,100,2012,11,21,09:30:00,10690.2893,1251.8567,31.17617,0.843276329535193,0.995951437861789,22,1.74525260284628,0.564616186668715,556217482.82635,363186.28,0.965183458485414,47688.2109490612,8,0.432033161788999,0.207764033337523,6,0.406288088180861,0.226753699454929,1,0,,18.9505111111111,2.62438888888889,1.27,0.351,0.518,3.57,,,2086.82,2325.18833333333,35.4162,
YON20130131,Yongala,-19.30847,147.61842,2013-01-31 10:15:00,28.9,2013,1,31,10:15:00,9806.4813,7861.5067,80.53284,0.631882657452976,0.996913585359668,18,2.05512529916672,0.711024557153368,104999561.9363,117414.47,0.994904090187015,35024.0319666621,11,1.70087735504112,0.709320950892144,10,1.69710250087529,0.737042251354348,1,0,,29.412,0.19939,0.725,0.1,0.1175,0,,,1959.9225,2289.1175,35.02875,
YON20130220,Yongala,-19.30847,147.61842,2013-02-20 10:42:00,28.9,2013,2,20,10:42:00,4243.5808,3318.6981,11.95547,0.663037232208085,0.976190510923477,30,2.18240145166628,0.641656806933017,18398026.3700256,36005.16,0.670104,20984.8334669257,15,2.25070617333775,0.831116857590632,14,2.2123027890578,0.838292811691333,1,0,,28.59708,0.17287,1.125,0.1275,0.2,0,,,1959.1,2283.78,34.9285,
PHB20130227,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00,100,2013,2,28,08:03:00,421.9472,195.6229,1.79998,0.813492321195525,0.992818322547787,24,2.41492430563307,0.759875204935931,30042277.6681785,220282.57,0.99334814242096,2714.41150193948,10,1.63629088866247,0.710632103734677,10,1.63629088866247,0.710632103734677,,,,17.70435,3.43846,3.85,0.735,0.209,8.23,,,2108.53,2320.34833333333,35.3586,
PHB20100413,Port Hacking,-34.11923,151.22667,2010-04-14 09:18:00,100,2010,4,14,09:18:00,2440.0588,1732.7953,51.4322,0.74035911705028,0.953352906443644,37,2.68565043941591,0.743758375124415,,,,,,,,,,,,,,21.0453444444444,1.55227777777778,1.41,0.276,0.074,2.51,,,2052.41333333333,2320.925,35.4168,
PHB20120717,Port Hacking,-34.11923,151.22667,2012-07-17 10:00:00,100,2012,7,17,10:00:00,340.5478,278.3081,4.24358,0.520332842239879,0.965260157627062,36,3.02382531023999,0.843814519239779,114300008.859908,217688.44,0.990845463903628,14972.5908244313,11,1.31439767616863,0.548146406175078,9,1.24189929627219,0.565212727493608,1,0,,,,2.98,0.181,0.141,3.42,,,2069.445,2323.37333333333,35.4315,
YON20120402,Yongala,-19.30847,147.61842,2012-04-02 10:44:00,28.9,2012,4,2,10:44:00,6011.7399,3522.7162,28.03212,0.637748933157629,0.955056246605766,21,2.11688343337118,0.695308862612327,74995260.9053046,198020.84,0.974385322162097,11959.8675544501,19,2.09223694306066,0.710572356182082,13,1.99310089203055,0.777052726687388,5,0.878374369526781,0.545764681408763,27.62519,0.25004,3.1,0.125,0.075,0,,,1938.655,2261.66,34.63125,
YON20120615,Yongala,-19.30847,147.61842,2012-06-15 10:41:00,28.9,2012,6,15,10:41:00,2467.6506,1873.0829,25.84232,0.53568091868483,0.978417253534327,18,2.11154414288318,0.730544137484972,3775223.37635523,3925,0.925925925925926,27820.9730732484,7,1.76776147228933,0.908449690314596,6,1.6094379124341,0.898244401703927,1,0,,,,0.85,0.0825,0.18,0.025,,,1969.4475,2279.5425,35.1515,
YON20120816,Yongala,-19.30847,147.61842,2012-08-16 00:00:00,28.9,2012,8,16,00:00:00,318.6421,258.7966,4.13477,0.481415033330117,0.989784615698915,20,2.5455934397573,0.849739965827229,3049606.58028313,11525,0.951515151515152,11365.8635211565,6,0.811738860653805,0.453040084115491,5,0.74606155330863,0.46355410640246,,,,,,0.7,0.085,0,0.05,,,1991.96,2302.6625,35.43425,
KAI20100721,Kangaroo Island,-35.83217,136.44733,2010-07-22 07:00:00,110,2010,7,22,07:00:00,,,,,,,,,,,,,,,,,,,,,,15.68077,0.12181,0.58,0.127,0.017,0.77,,,2101.42571428571,2364.70428571429,,
KAI20081211,Kangaroo Island,-35.83217,136.44733,2008-12-12 06:45:00,110,2008,12,12,06:45:00,,,,,,,,,,,,,,,,,,,,,,16.52082,0.0535,,,,,,,2101.44,2352.81333333333,35.78025,
ROT20120504,Rottnest Island,-32,115.41667,2012-05-04 13:00:00,50,2012,5,4,13:00:00,2844.772,2491.14,13.42229,0.746270169740119,0.946107774393055,25,2.76388895173127,0.858650380476992,22744753.7359379,298596,0.437430669272622,2471.24914928532,24,2.68921065013157,0.846181592159233,23,2.6705993561266,0.851731552416597,,,,,,2.26666666666667,0.0866666666666667,0.0933333333333333,0.216666666666667,,,2015.24,2311.1525,35.2776666666667,
ROT20120824,Rottnest Island,-32,115.41667,2012-08-24 11:06:00,50,2012,8,24,11:06:00,2946.9325,2412.5554,8.55003,0.745347784042477,0.968421003987174,30,2.89134129669682,0.850095120114386,2632999.10342612,16554.43,0.338983716168033,3854.82763055742,6,1.47354234689709,0.822399642476529,4,1.08892450768401,0.785492993569087,1,0,,,,2.06666666666667,0.07,0.11,0.166666666666667,,,2019.425,2309.1875,35.2591666666667,
ESP20120612,Esperance,-33.93333,121.85,2012-06-12 09:24:00,50,2012,6,12,09:24:00,2793.6904,1834.9557,9.70522,0.734030092125355,0.974358999457796,34,2.90946455014618,0.825061569807265,14335503.6246144,132979.42,0.218898159364466,4621.89296698319,8,1.80761325808803,0.869278227762912,7,1.67611255310275,0.861351462664631,,,,,,0.1,0.126666666666667,,0.0333333333333333,,1.55,2042.045,2330.3975,35.5775,
ESP20120910,Esperance,-33.93333,121.85,2012-09-10 12:51:00,50,2012,9,10,12:51:00,3119.8177,1567.7673,6.56183,0.700228217288686,0.93089441029645,29,2.80124202193471,0.83189662072131,8652017.89841168,132965.94,0.250655117051474,1804.53311072609,8,1.8580618870083,0.893538890017222,4,1.27986358973996,0.923226426966093,3,0.83052196582647,0.755973671870487,16.56827,0.25152,0,0.08,,0.1,,1.33333333333333,2043.8425,2325.815,35.4501666666667,
MAI20121002,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,86,2012,10,2,10:15:00,892.0368,574.6521,11.35158,1.12591197234684,0.985037077279662,24,1.8703415761547,0.588517903093518,6574947.34758447,10085,0.922048997772828,18687.5347230995,12,2.07579695198537,0.835362146164511,12,2.07579695198537,0.835362146164511,,,,12.0582222222222,0.176711111111111,1,0.413333333333333,0.316666666666667,4.11111111111111,,272,2094.97857142857,2312.97571428571,35.090125,
DAR20121208_16:30,Darwin,-12.4,130.76805,2012-12-09 02:00:00,25,2012,12,9,02:00:00,,,60.47103,,,,,,,,,,,,,,,,,,,,,6.56666666666667,0.266666666666667,0.166666666666667,0.1,,,1997.46333333333,2289.73,34.5126666666667,
DAR20121208_20:00,Darwin,-12.4,130.76805,2012-12-09 05:30:00,25,2012,12,9,05:30:00,,,53.57521,,,,,,,,,,,,,,,,,,,,,6.2,0.246666666666667,0.0933333333333333,0.1,,,1996.35,2289.76666666667,34.5176666666667,
DAR20121209_03:00,Darwin,-12.4,130.76805,2012-12-09 12:30:00,25,2012,12,9,12:30:00,12697.0651,8722.9174,12.86546,0.811581532694534,0.942307720308562,25,2.19344246765677,0.681431216050897,43027949.7977531,69104.07,0.975199999611392,24757.0994448451,18,2.08334116845593,0.720786577977203,16,2.0497775629361,0.739300981243346,1,0,,32.0852555555556,0.7409,6.3,0.24,0.14,0,,,1995.25666666667,2288.08666666667,34.5166666666667,
YON20120918,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,28.9,2012,9,18,11:00:00,444.0804,293.7869,3.06027,0.57190434367877,0.910445839463263,27,2.50829312937385,0.761048932744888,6375321.81244651,25929.63,0.8551716755279,9629.75358660798,7,1.8446214763655,0.947947919003874,7,1.8446214763655,0.947947919003874,,,,23.6392,0.06139,1.175,0.1575,0.0775,0,,,1985.345,2301.5825,35.3025,
