NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Acanthostomella,Actiniscus,Actinocyclus,Actinoptychus,Akashiwo,Alexandrium,Amphidinium,Amphiprora,Amphisolenia,Amphora,Amphorides,Anabaena,Ascampbelliella,Asterionellopsis,Asteromphalus,Attheya,Bacillaria,Bacteriastrum,Bellerochea,Biddulphia,Brachidinium,Calciosolenia,Campylodiscus,Cerataulina,Ceratocorys,Ceratoperidinium,Chaetoceros,Chaetoceros (Hyalochaete),Chaetoceros (Phaeoceros),Chamaesiphon,Cladopyxis,Climacocylis,Climacodium,Cocconeis,Cochlodinium,Codonella,Codonellopsis,Corethron,Coscinodiscus,Cyclotella,Cylindrotheca,Cymatocylis,Cymatosira,Cymbella,Cyttarocylis,Dactyliosolen,Dactyliosolen cf.,Dadayiella,Detonula,Dictyocha,Dictyocysta,Dinophysis,Diploneis,Ditylum,Entomoneis,Ephemera,Epiplocylis,Epiplocyloides,Eucampia,Euglena,Eutintinnus,Eutreptiella,Favella,Fragilaria,Fragilariopsis,Goniodoma,Gonyaulax,Gossleriella,Grammatophora,Guinardia,Gymnodinium,Gyrodinium,Gyrosigma,Haslea,Helicostomella,Helicotheca,Hemiaulus,Hemidiscus,Heterocapsa,Heterosigma,Heterosigma cf.,Karenia,Kofoidinium,Laboea,Lauderia,Leptocylindrus,Licmophora,Lingulodinium,Lioloma cf.,Lithodesmium,Lyrella,Manguinea,Mastogloia,Melosira,Membraneis,Mesodinium,Mesoporos,Meuniera,Navicula,Neostreptotheca,Nitzschia,Noctiluca,Nodularia,Octactis,Odontella,Ormosella,Ornithocercus,Oxytoxum,Palmerina,Paralia,Parundella,Peridinium,Phaeocystis,Phalacroma,Planktoniella,Pleurosigma,Podolampas,Porosira,Proboscia,Pronoctiluca,Prorocentrum,Protoperidinium,Protorhabdonella,Pseudo-nitzschia,Pseudosolenia,Pterosperma,Pyrocystis,Pyrophacus,Pyrophacus cf.,Rhabdonella,Rhabdonema,Rhaphoneis,Rhizosolenia,Rotalia,Salpingella,Scrippsiella,Skeletonema,Steenstrupiella,Stephanopyxis,Striatella,Strombidium,Surirella,Synedra,Thalassionema,Thalassiosira,Thalassiothrix,Tintinnidium,Tintinnopsis,Toxarium,Triadinium,Triceratium,Trichodesmium,Trigonium,Tripos,Tripos (Amphiceratium),Tripos (Ceratium),Tripos (gametes),Tripos (Tripoceratium),Tryblionella,Undella,Vorticella,Xystonella,Xystonellopsis
YON20200904,Yongala,-19.30847,147.61842,2020-09-04 11:11:00,2020,9,4,11:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79127963.3062287,0,0,0,0,0,7065906.07993197,0,0,47166592.7210884,9617112.24489796,2243992.85714286,0,0,0,0,0,0,0,13535195.0113379,0,0,0,306122.448979592,0,0,0,0,59839809.5238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33392750.8503401,0,1335710.03401361,0,0,0,0,18730661.8069728,0,0,0,0,0,0,6497160.74744898,0,10443582.8284439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22573499.5748299,0,696350.164399093,0,0,3078231.29251701,656528195.918367,0,0,0,0,0,0,0,346696896.428571,0,0,0,0,0,0,0,375668.447066327,0,0,1062925.17006803,0,0,0,0,0,0,0,12658523.9923469,0,0,11540534.6938776,213713.605442177,0,662512.176870748,0,0,0,0,0
PHB20200831,Port Hacking,-34.11923,151.22667,2020-09-01 09:44:00,2020,9,1,09:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078758.2,0,0,0,0,0,0,0,0,97821258.625,348421965.9375,0,0,0,56548620,0,0,0,0,0,0,0,0,7e+05,0,0,0,0,150796320,0,0,0,2045305.98958333,0,0,0,0,0,0,0,0,18849540,0,0,0,0,0,0,0,0,0,0,19909826.625,0,0,0,0,0,30041454.375,0,0,0,0,0,0,0,0,0,17023490.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376990800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235619.25,0,0,1650000,0,0,0,0,0,0,0,0,502654400,0,0,2356192.5,0,0,0,0,1104465.234375,0,0,0,562344610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20200825,Rottnest Island,-32,115.41667,2020-08-25 10:40:00,2020,8,25,10:40:00,51017.2735042735,0,0,0,0,0,0,0,0,0,0,0,51017.2735042735,0,5725094.66105769,0,0,0,0,0,0,0,0,0,0,0,3210866.08717949,3318807.8974359,0,0,0,0,0,0,0,0,0,0,0,0,235897.435897436,0,0,0,0,5155429.74358974,0,0,0,0,51017.2735042735,2084324.13461538,4973378.63076923,0,0,0,724982.307692308,0,0,0,0,0,0,0,287576.315384615,0,0,0,161333.333333333,5034599.35897436,0,201383.974358974,0,151037.980769231,0,1540587.40384615,0,0,0,0,0,0,0,0,0,241660.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104887.486645299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701694.58333333,0,914820.267521368,1979685.02153846,0,707692.307692308,0,0,0,0,0,0,0,0,2835486.35897436,0,527572.310427351,241660.769230769,0,0,0,0,56639.2427884615,0,0,2141025.64102564,1731902.17948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295363.162393162,0,0,0
NSI20200817,North Stradbroke,-27.345,153.562,2020-08-18 09:50:00,2020,8,18,09:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12656765.4676259,0,0,0,0,0,17080175.8478931,0,0,40128726.942446,7506882.57965057,1937260.02055498,0,0,0,81364920.8633094,0,0,0,0,9040546.76258993,0,0,924974.30626927,0,0,0,0,52951773.8951696,0,269063.891743748,0,0,204488.557725248,0,2847772.23021583,0,0,0,0,0,1937260.02055498,0,0,0,0,62295.0175359712,0,0,0,0,0,144487309.866393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5686160.85720709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13641539.311408,0,0,0,0,2106885.91983556,0,0,0,0,0,0,0,0,85756043.5765673,0,0,0,0,0,0,0,0,0,0,205549.845837616,5811780.06166495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20200812,Port Hacking,-34.11923,151.22667,2020-08-13 09:55:00,2020,8,13,09:55:00,75797.0920634921,0,0,0,0,91913.9474285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28723.1085714286,12274640.9285714,0,0,0,0,0,0,0,0,0,0,0,0,60952.380952381,0,0,0,0,0,0,0,0,467498.511904762,75797.0920634921,1117009.77777778,0,0,0,0,0,0,0,0,0,2151989.15,0,0,0,0,0,0,0,19388098.2857143,0,7898854.85714286,0,0,0,0,3798631.10857143,0,0,0,0,0,0,727682.003714286,0,4308466.28571429,0,0,0,0,0,0,0,0,0,2762804.00571429,0,0,0,0,0,0,0,0,0,0,0,224399.285714286,0,0,0,0,0,0,0,228571.428571429,0,0,0,0,77991.2184126984,5882492.63542857,0,22857.1428571429,0,0,0,0,0,0,0,0,1723386.51428571,0,0,538558.285714286,0,0,0,0,0,0,0,0,5466964.99809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20200810,Darwin,-12.4,130.76805,2020-08-11 08:25:00,2020,8,11,08:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2801128.74727414,0,0,0,3452812.93457944,0,0,0,0,0,0,0,0,6899753.73831776,440409.813084112,0,0,0,0,0,0,0,0,0,0,27525613.317757,0,884735.202492212,0,0,0,0,17224917.1339564,0,0,0,509733.579958463,0,0,1726406.46728972,27912772.5856698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36700817.7570093,0,978688.473520249,0,0,0,0,1035452.40498442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10062305.2959502,0,0,0,3523278.5046729,554916.364485981,0,0,0,21580080.8411215,0,0,0,0,0,4485981.30841121,0,0,8269917.60124611,0,382667.193146418,0,0,953271.028037383,0,0,0,0,0,0,0,0,40357442.5661994,0,0,0,0,0,0,0,0,0,0,9376947.04049844,11059179.7507788,0,0,15016343.4787124,0,0,0,0,0,0,0,587213.08411215,0,1213573.70716511,0,0,0,0,0
MAI20200810,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00,2020,8,10,10:05:00,0,0,0,0,0,0,0,0,0,1832594.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,628318,0,0,0,466578.474833333,0,0,692720.595,0,0,0,0,0,0,0,0,403497.965625,0,0,0,0,0,0,0,0,0,7775435.25,0,0,0,0,0,0,0,0,0,0,0,2387706.5746875,0,1178096.25,0,0,0,0,0,0,0,0,0,1622238.53625,0,0,0,10800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,17671443.75,0,0,117809.625,0,0,0,0,0,0,0,75000,490873.4375,0,0,0,0,0,0,0,0,0,0,9863283.60416667,0,0,0,0,0,0,0
YON20200802,Yongala,-19.30847,147.61842,2020-08-03 09:15:00,2020,8,3,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123697.916666667,0,0,0,0,0,0,1081966.86848958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276041.666666667,0,0,0,0,0,0,0,0,0,0,0,2164751.859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31659495.9433594,0,0,0,0,0,0,0,0,1227183.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382598.125,0,0,0,0,0,0,184077.5390625,0,0,0,0,0,0,0,0,0,0,1728283.56119792,0,53314.3094618056,0,0,104166.666666667,0,0,0,0,0,0,0,0,13089958.3333333,0,1472620.3125,490873.4375,0,0,0,0,0,0,0,0,511326.497395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299978.211805556,0,0,0
ROT20200730,Rottnest Island,-32,115.41667,2020-07-30 09:27:00,2020,7,30,09:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724104.592,0,0,0,0,0,3323802.22,0,0,2246236.85,6534507.2,1809555.84,0,0,0,0,185856.4644,0,0,0,1172860.26666667,0,0,144000,0,0,0,0,2010617.6,0,0,0,327248.958333333,0,0,3325058.856,1e+06,0,0,0,0,565486.2,0,0,0,0,0,0,0,0,0,0,19100867.2,0,628318,0,235619.25,0,0,1329520.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195890.24,0,0,327248.958333333,0,0,0,0,0,0,0,0,0,0,0,720000,0,0,5309287.1,0,366518.833333333,0,0,1072000,0,0,1507963.2,0,0,0,0,0,93745045.6,0,0,376990.8,0,0,0,0,88357.21875,0,0,28325000,5780525.6,0,0,0,0,0,0,0,0,0,0,0,0,1570795,0,0,0,0,0
NSI20200720,North Stradbroke,-27.345,153.562,2020-07-20 10:30:00,2020,7,20,10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16759369.233871,0,0,0,0,0,4188258.84576613,1330108.66935484,0,26176221.9203629,5700465.72580645,0,0,0,0,239419560.483871,0,0,0,0,2955797.04301075,0,0,483870.967741936,0,0,0,0,10134161.2903226,0,0,0,412360.078545027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201291362.091734,0,0,0,4156589.59173387,0,0,0,0,0,0,0,0,0,0,0,1287058.27715474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356279.107862903,0,0,0,0,0,0,0,0,0,0,0,0,0,7783035.87096774,0,2318548.38709677,0,0,0,0,0,0,0,0,64351924.1935484,0,0,475038.810483871,0,0,0,0,0,0,0,19153225.8064516,1266770.16129032,0,0,0,0,0,0,0,0,0,0,0,0,654497.916666667,0,0,0,0,0
YON20200710,Yongala,-19.30847,147.61842,2020-07-11 09:25:00,2020,7,11,09:25:00,0,0,0,0,0,0,0,0,0,0,0,0,69813.1111111111,0,0,0,0,1944478.86315789,0,0,0,0,0,2915615.98245614,0,0,3257332.78947368,595248.631578948,1984162.10526316,0,0,0,0,0,0,0,0,0,0,0,729824.561403509,0,0,0,0,0,0,0,0,0,0,0,3888957.72631579,3929824.56140351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5952486.31578947,0,1377890.35087719,0,0,0,0,13125232.3263158,0,0,0,0,0,0,2680933.69789474,0,1322774.73684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202834.80701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210526.315789474,0,0,16300442.8508772,73487.485380117,0,0,0,91228.0701754386,203178199.578947,0,0,0,0,4592967.83625731,0,0,40035982.0350877,0,0,165346.842105263,0,937516.594736842,0,0,0,0,0,4526315.78947368,799176.403508772,0,0,0,0,0,0,8437649.35263158,0,0,0,220462.456140351,0,0,0,0,0,0,0
ROT20200710,Rottnest Island,-32,115.41667,2020-07-10 10:25:00,2020,7,10,10:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11276701.6051136,0,0,2798871.09090909,0,0,0,0,0,6295079.96212121,0,0,5277236.53535353,688095.476388889,342718.909090909,0,0,0,0,0,0,0,0,1480884.17508418,0,0,494949.494949495,0,0,0,0,5077317.17171717,0,0,0,264694.824116162,0,0,1399435.54545455,0,0,0,0,0,475998.484848485,0,0,0,0,0,283219.098484849,0,0,0,0,20637707.6414141,0,0,0,0,0,0,1678687.98989899,0,0,0,0,0,0,0,7139977.27272727,1719544.52651515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619789.693813131,0,0,0,0,0,0,0,0,0,0,0,909090.909090909,0,0,0,0,231388.152356902,3899379.58787879,0,1131313.13131313,97484489.6969697,0,0,0,0,0,0,0,22340195.5555556,0,0,0,0,0,0,0,0,0,0,16224747.4747475,5196316.79292929,0,0,0,0,0,0,0,0,0,14279954.5454545,0,0,0,0,0,0,0,0
PHB20200630,Port Hacking,-34.11923,151.22667,2020-07-01 09:18:00,2020,7,1,09:18:00,0,0,0,0,0,241274.112,0,0,0,0,0,0,0,0,0,0,0,16625294.28,0,0,0,0,0,70630797.175,0,0,8243532.16,5403220.641,3534288.75,0,0,0,67748388.35,0,0,0,0,14660753.3333333,0,0,20000,0,0,0,0,311213759.375,0,0,0,409061.197916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223209969.5,0,20734494,0,0,0,0,8350346.22,0,0,0,0,0,0,0,84822930,16599376.1625,0,0,0,0,0,0,0,0,0,1145109.555,0,35342887.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678583.44,0,0,0,0,0,6636608.875,0,614180.845,0,0,1310000,0,0,0,0,0,0,0,0,164870643.2,0,0,0,0,0,0,0,0,0,0,0,30394883.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200628,Maria Island,-42.59667,148.23333,2020-06-29 09:45:00,2020,6,29,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618500.53125,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,57517.2769166667,0,0,0,0,0,0,0,0,0,0,0,1008744.9140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387706.5746875,883572.1875,471238.5,0,0,0,0,0,0,0,0,0,1145109.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292539.88571429,0,0,150000,0,0,0,0,0,3860385.792,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78539.75,0,0,294524.0625,0,0,0,0,0,0,7068577.5,3580103.60416667,0,0,0,0,0,0,0
