NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Amphipod,Appendicularian,Ascidian,Brachiopod,Bryozoan,Cephalochordate,Cephalopod,Chaetognath,Ciliophora,Cirripedia,Cladoceran,Cnidarian,Coelenterate,Copepod,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Foraminifera,Hemichordata,Isopod,Mollusc,Mysida,Nematode,Nemertean,Noctilucaceae,Ostracod,Phoronid,Platyhelminthes,Polychaete,Radiozoa,Sipunculid,Thaliacean,Thecostraca,Urochordata
YON20191202,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,0,972.4875,0,0,0,0,0,70.7264,0,17.6816,53.0448,70.7264,0,3730.8157,0,0,53.0448,0,0,0,17.6816,17.6816,0,17.6816,831.0347,0,0,0,0,35.3632,17.6816,17.6816,70.7264,0,0,35.3632,0,0
KAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,0,43.8503,0,0,0,0,0,15.5598,0,0,5.6581,0,0,315.4392,0,0,0,1.4145,0,0,2.8291,1.4145,0,0,1.4145,0,0,0,49.5085,0,0,0,1.4145,0,0,76.3845,0,0
ROT20191126,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,0,190.9612,0,0,7.0726,0,0,3.5363,3.5363,3.5363,42.4358,0,0,562.2743,0,0,7.0726,3.5363,0,0,0,3.5363,0,0,14.1453,0,0,0,0,7.0726,0,0,17.6816,0,0,3.5363,3.5363,0
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,0,396.0676,0,0,0,0,0,18.8604,0,0,0,9.4302,0,2013.344,0,0,0,0,0,0,0,4.7151,0,0,42.4359,0,0,0,51.866,0,0,0,4.7151,0,0,9.4302,0,0
PHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,3.5363,70.7264,0,0,0,0,0,21.2179,0,3.5363,81.3353,17.6816,0,1517.0802,0,0,0,7.0726,0,3.5363,0,21.2179,0,0,14.1453,0,0,0,2188.9808,0,0,10.609,0,0,0,3.5363,0,0
YON20191107,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,0,1007.8506,0,0,0,0,0,141.4527,0,0,0,53.0448,0,7567.7207,0,0,35.3632,0,0,0,0,0,0,0,459.7213,0,0,0,0,0,0,0,35.3632,0,0,17.6816,0,0
DAR20191105,Darwin,-12.4,130.76805,2019-11-06T07:38:00Z,2019,11,6,07:38:00,0,365.0393,0,0,0,0,0,182.5196,22.815,0,0,22.815,0,10654.5842,0,0,114.0748,91.2598,0,0,0,0,0,22.815,6821.6716,0,0,0,0,433.4841,0,0,182.5196,0,0,0,0,0
PHB20191028,Port Hacking,-34.11923,151.22667,2019-10-29T09:30:00Z,2019,10,29,09:30:00,0,24.7542,0,0,0,0,0,0,0,0,106.0895,3.5363,0,717.8722,0,0,0,0,0,3.5363,7.0726,10.609,0,0,0,0,0,0,855.789,0,0,0,0,0,0,91.9443,0,0
NSI20191024,North Stradbroke,-27.345,153.562,2019-10-24T10:20:00Z,2019,10,24,10:20:00,0,726.5526,0,0,0,0,0,6.4297,115.734,0,6.4297,6.4297,0,1600.9877,0,0,0,6.4297,0,0,0,19.289,0,0,70.7263,0,0,0,0,6.4297,0,0,12.8594,0,0,32.1483,0,0
MAI20191015,Maria Island,-42.59667,148.23333,2019-10-16T09:40:00Z,2019,10,16,09:40:00,0,0,0,0,0,0,0,0,0,0,99.0169,18.8604,0,2093.5007,0,0,0,14.1453,0,18.8604,9.4302,14.1453,0,0,4.7151,0,0,0,6412.5233,0,0,0,9.4302,0,0,4.7151,0,0
ROT20191011,Rottnest Island,-32,115.41667,2019-10-11T10:07:00Z,2019,10,11,10:07:00,0,380.1542,0,0,0,0,0,8.8408,8.8408,0,2528.4674,8.8408,0,1980.3384,17.6816,0,17.6816,17.6816,0,8.8408,8.8408,44.204,0,0,97.2488,0,0,0,0,8.8408,0,0,0,0,0,194.4976,0,0
YON20191009,Yongala,-19.30847,147.61842,2019-10-09T10:00:00Z,2019,10,9,10:00:00,0,618.8556,0,0,0,0,0,123.7711,35.3632,17.6816,17.6816,17.6816,0,3430.2286,0,0,17.6816,35.3632,0,0,0,35.3632,0,0,229.8608,0,0,0,0,17.6816,0,0,0,0,0,35.3632,0,0
MAI20190925,Maria Island,-42.59667,148.23333,2019-09-25T10:03:00Z,2019,9,25,10:03:00,0,1084.4709,0,0,0,0,0,0,0,4.7151,33.0056,0,0,556.3809,0,0,0,4.7151,0,0,0,0,0,0,23.5755,0,0,0,28.2905,0,0,0,0,0,0,0,0,0
PHB20190923,Port Hacking,-34.11923,151.22667,2019-09-24T09:36:00Z,2019,9,24,09:36:00,0,47.1509,0,0,0,0,0,4.7151,47.1509,7.0726,33.0057,0,0,473.8658,0,0,0,9.4301,0,2.3575,0,7.0726,0,0,84.8715,0,0,0,3251.055,0,2.3575,0,4.7151,0,0,2.3575,2.3575,0
YON20190917,Yongala,-19.30847,147.61842,2019-09-17T10:10:00Z,2019,9,17,10:10:00,0,297.0507,0,0,7.0726,0,0,99.0169,0,14.1453,0,35.3632,0,2058.1368,0,0,14.1452,700.191,0,0,0,42.4357,0,14.1453,198.0338,0,0,0,7.0726,0,0,0,28.2905,0,0,0,0,0
NSI20190916,North Stradbroke,-27.345,153.562,2019-09-16T10:20:00Z,2019,9,16,10:20:00,0,745.8416,0,0,0,0,0,25.7187,0,0,0,0,0,2340.4001,6.4297,0,6.4297,25.7187,0,0,0,6.4297,0,0,45.0077,0,0,0,0,0,0,0,0,0,0,25.7187,0,0
KAI20190909,Kangaroo Island,-35.83217,136.44733,2019-09-10T07:50:00Z,2019,9,10,07:50:00,0,109.6258,0,0,0,0,0,35.3632,0,0,74.2627,7.0726,0,1937.9019,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,1117.4765,0,0,0,0,0,0,0,0,0
MAI20190828,Maria Island,-42.59667,148.23333,2019-08-29T09:20:00Z,2019,8,29,09:20:00,0,11.7241,0,0,0.5097,0,0,3.5682,0.2549,1.5292,6.3717,0.5098,0,34.4076,0,0,0.7646,0,0,0.2549,0.2549,0,0,0,0.7647,0,0,0,0,0,0,0,0.2549,0,0,0,0,0
PHB20190827,Port Hacking,-34.11923,151.22667,2019-08-28T09:59:00Z,2019,8,28,09:59:00,0,70.7264,0,0,10.609,0,0,3.5363,0,10.609,45.9722,3.5363,0,1174.057,0,0,14.1452,31.8269,0,3.5363,3.5363,0,0,0,17.6815,0,0,0,282.9054,0,0,0,10.609,0,0,321.8049,0,0
YON20190826,Yongala,-19.30847,147.61842,2019-08-26T10:40:00Z,2019,8,26,10:40:00,0,367.777,0,0,0,0,0,21.2179,14.1452,14.1453,0,7.0726,0,1227.102,7.0726,0,7.0726,0,0,0,7.0726,0,0,0,141.4526,0,0,0,7.0726,0,0,0,7.0726,0,0,0,0,0
NSI20190821,North Stradbroke,-27.345,153.562,2019-08-21T10:40:00Z,2019,8,21,10:40:00,0,151.7402,0,0,0,0,0,23.1468,2.5719,2.5719,0,7.7157,0,1093.0444,0,0,0,0,0,0,5.1437,38.578,0,0,46.2936,0,0,0,5.1437,7.7156,0,0,2.5719,0,0,108.0185,0,0
ROT20190819,Rottnest Island,-32,115.41667,2019-08-19T08:31:00Z,2019,8,19,08:31:00,0,230.6294,0,0,69.1888,0,0,7.6876,38.4382,0,338.2565,23.0628,0,3174.9976,0,0,7.6876,0,0,7.6876,7.6876,15.3752,0,0,115.3146,0,0,0,0,30.7506,0,0,15.3753,7.6876,0,0,0,0
YON20190808,Yongala,-19.30847,147.61842,2019-08-08T10:04:00Z,2019,8,8,10:04:00,0,335.9502,0,0,0,0,0,70.7264,0,17.6816,0,0,0,4296.6265,0,0,0,0,0,0,0,0,0,0,53.0448,0,0,0,0,0,0,0,35.3632,0,0,17.6816,0,0
MAI20190731,Maria Island,-42.59667,148.23333,2019-07-31T10:20:00Z,2019,7,31,10:20:00,0,29.2336,0,0,0,0,0,6.6011,0,0,56.5812,0.943,0,146.1676,0,0,0,0,0,0.943,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20190729,Port Hacking,-34.11923,151.22667,2019-07-29T10:03:00Z,2019,7,29,10:03:00,0,371.3133,0,0,0,0,0,28.2905,21.2179,10.609,31.8268,7.0726,0,2026.3101,0,0,3.5363,21.2179,0,0,7.0726,17.6816,0,0,14.1452,0,0,0,10.609,7.0726,0,0,14.1453,0,0,28.2905,0,0
DAR20190723_0630,Darwin,-12.4,130.76805,2019-07-23T16:00:00Z,2019,7,23,16:00:00,0,101.0376,0,0,0,0,0,101.0377,25.2594,0,0,0,0,4900.3261,0,0,25.2594,0,0,0,0,75.7782,0,0,656.7448,0,0,0,0,378.8912,0,0,25.2594,0,0,0,0,0
NSI20190723,North Stradbroke,-27.345,153.562,2019-07-23T10:20:00Z,2019,7,23,10:20:00,0,83.5857,0,0,19.289,0,0,38.578,0,0,0,6.4297,0,1324.5124,0,0,0,25.7187,0,6.4297,0,6.4297,0,0,205.7494,0,0,0,0,6.4297,0,0,0,0,0,19.289,0,0
ROT20190711,Rottnest Island,-32,115.41667,2019-07-11T09:26:00Z,2019,7,11,09:26:00,0,253.6924,0,0,46.1259,0,0,30.7506,0,0,7.6876,15.3753,0,2667.6128,0,0,0,0,0,7.6876,0,38.4382,0,0,253.6923,0,0,0,0,76.8765,0,0,15.3753,0,0,0,0,0
YON20190703,Yongala,-19.30847,147.61842,2019-07-03T10:50:00Z,2019,7,3,10:50:00,0,97.9288,0,0,10.881,0,0,5.4405,0,5.4405,0,10.881,0,2034.7435,0,0,5.4405,10.881,0,0,0,0,0,0,43.524,0,0,0,0,54.4049,0,0,27.2024,0,0,0,0,0
PHB20190626,Port Hacking,-34.11923,151.22667,2019-06-27T09:38:00Z,2019,6,27,09:38:00,3.5363,49.5085,0,0,0,0,0,17.6816,0,0,7.0726,0,0,972.4873,0,0,3.5363,3.5363,0,0,3.5363,0,0,0,42.4358,0,0,0,0,0,0,0,10.609,0,0,10.609,0,0
MAI20190624,Maria Island,-42.59667,148.23333,2019-06-24T10:10:00Z,2019,6,24,10:10:00,0,31.8269,0,0,5.8939,0,0,3.5363,0,0,0,0,0,258.1513,0,0,0,0,0,2.3575,0,0,0,0,2.3575,0,0,0,0,0,0,0,2.3575,0,0,0,0,0
ROT20190621,Rottnest Island,-32,115.41667,2019-06-21T09:15:00Z,2019,6,21,09:15:00,0,122.5924,0,0,0,0,0,9.4302,22.0038,3.1434,0,3.1434,0,1244.7844,0,0,3.1434,0,0,6.2868,0,0,0,0,0,0,0,0,0,0,0,0,6.2868,0,0,0,0,0
NSI20190618,North Stradbroke,-27.345,153.562,2019-06-18T10:00:00Z,2019,6,18,10:00:00,0,218.6088,0,0,0,0,0,6.4297,41.7928,0,0,3.2148,0,1340.5851,0,0,6.4296,6.4297,0,0,0,22.5038,0,0,109.3043,0,0,0,0,9.6445,0,0,3.2148,0,0,6.4297,0,0
DAR20190529,Darwin,-12.4,130.76805,2019-05-30T08:39:00Z,2019,5,30,08:39:00,0,3081.6486,0,0,0,0,0,303.113,0,0,0,0,0,11164.661,0,0,25.2594,25.2594,0,0,0,0,0,0,328.3723,0,0,0,0,25.2594,0,0,75.7782,0,0,0,0,0
YON20190528,Yongala,-19.30847,147.61842,2019-05-28T10:25:00Z,2019,5,28,10:25:00,0,183.8885,0,0,28.2905,0,0,84.8716,0,0,0,0,0,3592.8993,0,0,0,0,0,0,0,0,0,14.1453,56.5811,0,0,0,0,56.5811,0,0,70.7264,0,0,0,0,0
NSI20190527,North Stradbroke,-27.345,153.562,2019-05-27T10:15:00Z,2019,5,27,10:15:00,6.4297,90.0154,0,0,0,0,0,32.1484,6.4297,0,0,6.4297,0,1671.7142,0,0,19.2891,6.4297,0,0,0,25.7187,0,0,102.8749,0,0,0,0,12.8594,0,0,0,0,0,57.8671,0,0
ROT20190527,Rottnest Island,-32,115.41667,2019-05-27T09:28:00Z,2019,5,27,09:28:00,0,534.3769,0,0,31.4339,0,0,78.5848,15.717,0,801.5655,31.434,0,3442.0169,0,0,15.717,0,0,0,0,0,0,0,62.8679,0,0,0,0,0,0,0,15.717,0,0,62.8679,0,0
PHB20190522,Port Hacking,-34.11923,151.22667,2019-05-23T08:50:00Z,2019,5,23,08:50:00,0,132.1654,0,0,0,0,0,60.7247,7.1441,0,0,21.4322,0,1303.7934,0,0,7.144,10.7161,0,0,0,17.8602,0,0,128.5935,0,0,0,0,3.572,0,0,25.0043,0,0,17.8602,0,0
KAI20190514,Kangaroo Island,-35.83217,136.44733,2019-05-14T15:35:00Z,2019,5,14,15:35:00,0,35.3632,0,0,0,0,0,141.4527,42.4358,0,0,7.0726,0,2475.4223,0,0,0,0,0,0,0,0,0,0,21.2178,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20190507,Yongala,-19.30847,147.61842,2019-05-07T11:30:00Z,2019,5,7,11:30:00,0,408.0367,0,0,27.2024,0,0,68.0061,0,27.2024,0,0,0,4910.0413,13.6012,0,13.6012,27.2024,0,0,0,0,0,0,163.2147,0,0,0,0,13.6012,0,0,149.6135,0,0,0,0,0
ROT20190507,Rottnest Island,-32,115.41667,2019-05-07T09:40:00Z,2019,5,7,09:40:00,15.717,770.1315,0,0,47.1509,0,0,47.1509,0,0,1901.7533,31.434,0,4730.8081,0,0,15.717,0,0,15.717,0,15.717,0,0,141.4527,0,0,0,0,0,0,0,15.717,0,0,0,0,0
MAI20190430,Maria Island,-42.59667,148.23333,2019-05-01T09:47:00Z,2019,5,1,09:47:00,0,594.1014,0,0,9.4302,0,0,4.7151,0,14.1453,905.2975,9.4302,0,2239.6683,0,0,0,4.7151,0,0,0,0,0,0,84.8717,0,0,0,1419.2423,0,0,0,0,0,0,4.7151,0,0
NSI20190416,North Stradbroke,-27.345,153.562,2019-04-16T10:10:00Z,2019,4,16,10:10:00,0,199.3197,0,0,0,0,0,45.0077,6.4297,0,0,6.4297,0,1530.2617,0,0,12.8594,0,0,0,6.4297,19.289,0,0,38.578,0,0,0,0,0,0,0,6.4297,0,0,12.8593,0,0
PHB20190408,Port Hacking,-34.11923,151.22667,2019-04-09T08:50:00Z,2019,4,9,08:50:00,0,42.4358,0,0,0,0,0,28.2905,0,0,912.37,21.2178,0,2192.5164,0,0,0,0,0,0,0,0,0,0,49.5085,0,0,0,106.0895,14.1452,0,0,21.2179,0,0,190.9612,0,0
NSI20190322,North Stradbroke,-27.345,153.562,2019-03-22T10:50:00Z,2019,3,22,10:50:00,6.4297,135.0231,0,0,0,0,0,96.445,0,12.8593,25.7187,32.1484,0,1549.5505,0,0,6.4297,0,0,0,0,0,6.4297,6.4297,469.3658,0,0,6.4297,0,0,0,0,12.8594,0,0,6.4297,0,0
MAI20190320,Maria Island,-42.59667,148.23333,2019-03-21T09:35:00Z,2019,3,21,09:35:00,0,594.1014,0,0,0,0,0,47.1509,0,0,1805.8796,14.1453,0,1428.6727,0,0,14.1453,14.1453,0,0,0,0,0,0,70.7264,0,0,0,598.8165,4.7151,0,0,0,0,0,37.7207,0,0
KAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20T13:40:00Z,2019,3,20,13:40:00,0,77.7989,0,0,0,0,0,84.8716,35.3631,0,1739.8683,14.1452,0,2524.9308,0,0,28.2905,0,0,0,0,0,0,0,21.2178,0,0,0,516.3024,0,0,0,0,0,0,49.5084,0,0
YON20190313,Yongala,-19.30847,147.61842,2019-03-13T10:10:00Z,2019,3,13,10:10:00,0,127.3075,0,0,14.1453,0,0,28.2905,0,42.4358,0,70.7264,0,3409.0104,0,0,14.1453,28.2905,0,0,0,0,0,0,480.9392,0,0,0,0,0,0,0,99.0169,0,0,0,0,0
ROT20190306,Rottnest Island,-32,115.41667,2019-03-06T10:24:00Z,2019,3,6,10:24:00,0,487.226,0,0,15.717,0,0,0,15.717,0,39.2925,0,0,1383.0936,7.8585,0,15.717,0,0,0,0,15.717,0,0,47.1509,0,0,0,0,7.8585,0,0,7.8585,0,0,0,0,0
PHB20190227,Port Hacking,-34.11923,151.22667,2019-02-28T10:35:00Z,2019,2,28,10:35:00,0,65.345,3.8438,0,0,0,0,3.8438,15.3752,7.6876,880.2356,7.6876,0,630.3865,3.8438,0,0,3.8438,0,0,0,11.5315,0,0,19.2191,0,0,0,161.4406,3.8438,0,7.6876,0,0,0,15.3753,0,0
ROT20190221,Rottnest Island,-32,115.41667,2019-02-21T09:30:00Z,2019,2,21,09:30:00,0,377.2073,0,0,31.4339,0,0,0,0,7.8585,196.4622,0,0,2498.9986,0,0,39.2925,0,0,0,7.8585,0,0,7.8585,47.151,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20190214_0030,Darwin,-12.4,130.76805,2019-02-14T10:00:00Z,2019,2,14,10:00:00,0,72.8065,0,0,10.4009,0,0,31.2027,0,20.8019,0,0,0,3640.327,0,0,31.2028,10.4009,0,0,0,0,0,0,405.6364,0,0,0,0,0,0,0,62.4056,0,0,0,0,0
YON20190213,Yongala,-19.30847,147.61842,2019-02-13T10:26:00Z,2019,2,13,10:26:00,0,1372.0914,0,14.1453,0,42.4358,0,42.4358,141.4527,0,0,14.1453,0,5134.734,0,0,28.2906,56.5811,0,0,0,0,0,14.1453,282.9054,0,0,14.1453,0,0,14.1453,14.1453,99.0169,0,0,0,0,0
ROT20190125,Rottnest Island,-32,115.41667,2019-01-25T09:35:00Z,2019,1,25,09:35:00,0,188.6037,0,0,7.8585,0,0,0,47.151,0,707.2637,7.8585,0,1567.7673,0,0,7.8585,15.717,0,0,0,0,0,0,78.585,7.8585,0,0,0,0,0,0,15.717,0,0,196.4621,0,0
YON20190124,Yongala,-19.30847,147.61842,2019-01-24T11:12:00Z,2019,1,24,11:12:00,7.0726,0,0,0,14.1453,0,0,56.5811,7.0726,0,0,14.1452,0,2751.2551,0,0,7.0726,14.1453,0,0,0,28.2906,0,7.0726,120.2349,0,0,0,0,0,0,0,42.4358,0,0,0,0,0
PHB20190121,Port Hacking,-34.11923,151.22667,2019-01-22T09:43:00Z,2019,1,22,09:43:00,0,226.3244,0,0,0,0,0,7.0726,0,3.5363,215.7153,24.7542,0,1566.5883,0,0,0,0,0,7.0726,0,17.6816,0,0,17.6815,0,0,0,371.3134,0,0,3.5363,0,0,0,116.6985,0,0
NSI20190118,North Stradbroke,-27.345,153.562,2019-01-18T10:40:00Z,2019,1,18,10:40:00,0,431.4308,0,0,0,0,0,28.2905,0,0,0,7.0726,0,2128.8628,7.0726,0,0,0,0,0,0,7.0726,0,0,28.2905,0,0,0,21.2179,14.1453,0,0,14.1453,0,0,113.1622,0,0
MAI20190106,Maria Island,-42.59667,148.23333,2019-01-07T08:50:00Z,2019,1,7,08:50:00,0,397.8358,0,0,0,0,0,13.2612,30.9428,0,853.1367,26.5224,0,1193.5075,0,0,0,4.4204,0,4.4204,4.4204,30.9428,0,0,327.1094,0,0,0,5702.3128,0,0,0,30.9428,0,0,490.6641,0,0
PHB20181218,Port Hacking,-34.11923,151.22667,2018-12-19T09:40:00Z,2018,12,19,09:40:00,0,82.5141,0,0,0,0,0,3.9292,7.8584,3.9292,337.9148,31.4339,0,679.7581,0,0,0,0,0,0,0,31.434,0,0,47.1509,0,0,0,1053.0369,0,0,55.0094,0,0,0,19.6462,0,0
YON20181213,Yongala,-19.30847,147.61842,2018-12-13T10:30:00Z,2018,12,13,10:30:00,0,2008.6286,0,0,0,28.2905,0,113.1622,28.2905,0,0,0,0,4300.1627,0,0,56.581,311.1959,0,0,0,28.2905,0,0,198.0338,0,0,0,0,0,0,28.2905,198.0338,0,0,0,28.2905,0
ROT20181211,Rottnest Island,-32,115.41667,2018-12-11T09:24:00Z,2018,12,11,09:24:00,0,204.3206,0,0,0,0,0,0,47.1509,0,911.5842,0,0,2781.9038,0,0,0,0,0,0,0,47.1509,0,0,188.6037,0,0,0,0,0,0,0,15.717,0,0,0,0,0
MAI20181204,Maria Island,-42.59667,148.23333,2018-12-05T09:10:00Z,2018,12,5,09:10:00,0,224.6602,0,0,0,0,0,29.1226,0,0,108.1697,16.6415,0,890.3198,0,0,0,4.1604,0,4.1604,0,83.2075,0,0,104.0094,0,0,0,2558.6301,0,0,0,0,0,0,37.4434,0,0
KAI20181204,Kangaroo Island,-35.83217,136.44733,2018-12-04T15:39:00Z,2018,12,4,15:39:00,0,0,0,0,21.2179,0,0,28.2905,0,0,49.5084,21.2178,0,2270.3158,0,0,0,480.9393,0,0,14.1452,0,0,0,21.2179,0,0,0,2079.355,0,0,0,0,0,0,7.0726,0,0
ROT20181130,Rottnest Island,-32,115.41667,2018-11-30T09:33:00Z,2018,11,30,09:33:00,0,502.943,0,0,0,0,0,15.717,0,31.4339,770.1316,0,0,3583.4692,0,0,0,31.4339,0,0,15.717,31.4339,0,15.717,157.1696,0,0,0,0,0,0,0,15.717,0,0,0,0,0
YON20181123,Yongala,-19.30847,147.61842,2018-11-23T10:05:00Z,2018,11,23,10:05:00,0,961.8785,0,0,0,0,0,28.2905,0,0,0,14.1453,0,4328.4531,0,0,0,14.1453,0,0,0,56.581,0,14.1453,1202.3482,0,0,0,0,14.1453,0,0,99.0169,0,0,0,14.1453,0
PHB20181120,Port Hacking,-34.11923,151.22667,2018-11-21T09:24:00Z,2018,11,21,09:24:00,0,233.397,0,0,0,0,0,0,7.0726,7.0726,1810.5948,35.3632,0,1166.9847,0,0,0,0,0,0,0,0,0,0,7.0726,0,0,0,5198.3874,0,0,99.0169,0,0,0,226.3243,0,0
NSI20181115,North Stradbroke,-27.345,153.562,2018-11-15T10:40:00Z,2018,11,15,10:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2840.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20181024,Rottnest Island,-32,115.41667,2018-10-24T09:18:00Z,2018,10,24,09:18:00,0,400.7827,0,0,7.8585,0,0,0,7.8585,0,1131.6217,0,0,1603.1315,0,0,0,7.8585,0,0,0,15.717,0,0,78.5849,7.8585,0,15.717,0,0,0,0,0,0,0,0,0,0
NSI20181023,North Stradbroke,-27.345,153.562,2018-10-23T10:30:00Z,2018,10,23,10:30:00,0,405.0691,0,0,0,0,0,32.1483,64.2967,6.4297,0,25.7187,0,1832.4563,0,0,0,0,0,0,0,64.2967,0,0,109.3044,0,0,0,0,6.4297,0,0,25.7186,0,0,25.7187,0,0
