NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Acanthostomella,Actiniscus,Actinocyclus,Actinoptychus,Akashiwo,Alexandrium,Amphidinium,Amphiprora,Amphisolenia,Amphora,Amphorides,Anabaena,Ascampbelliella,Asterionellopsis,Asteromphalus,Attheya,Bacillaria,Bacteriastrum,Bellerochea,Biddulphia,Brachidinium,Calciosolenia,Campylodiscus,Cerataulina,Ceratium,Ceratocorys,Ceratoperidinium,Chaetoceros,Chaetoceros (Hyalochaete),Chaetoceros (Phaeoceros),Chamaesiphon,Cladopyxis,Climacocylis,Climacodium,Cocconeis,Cochlodinium,Codonella,Codonellopsis,Corethron,Coscinodiscus,Cyclotella,Cylindrotheca,Cymatocylis,Cymatosira,Cymbella,Cyttarocylis,Dactyliosolen,Dactyliosolen cf.,Dadayiella,Detonula,Dictyocha,Dictyocysta,Dinophysis,Diploneis,Ditylum,Entomoneis,Ephemera,Epiplocylis,Epiplocyloides,Eucampia,Euglena,Eutintinnus,Eutreptiella,Favella,Fragilaria,Fragilariopsis,Goniodoma,Gonyaulax,Gossleriella,Grammatophora,Guinardia,Gymnodinium,Gyrodinium,Gyrosigma,Haslea,Helicostomella,Helicotheca,Hemiaulus,Hemidiscus,Heterocapsa,Heterosigma,Heterosigma cf.,Karenia,Kofoidinium,Laboea,Lauderia,Leptocylindrus,Licmophora,Lingulodinium,Lioloma cf.,Lithodesmium,Lyrella,Manguinea,Mastogloia,Melosira,Membraneis,Mesodinium,Mesoporos,Meuniera,Navicula,Neostreptotheca,Nitzschia,Noctiluca,Nodularia,Octactis,Odontella,Ormosella,Ornithocercus,Oxytoxum,Palmerina,Paralia,Parundella,Peridinium,Phaeocystis,Phalacroma,Planktoniella,Pleurosigma,Podolampas,Porosira,Proboscia,Pronoctiluca,Prorocentrum,Protoperidinium,Protorhabdonella,Pseudo-nitzschia,Pseudosolenia,Pterosperma,Pyrocystis,Pyrophacus,Pyrophacus cf.,Rhabdonella,Rhabdonema,Rhaphoneis,Rhizosolenia,Rotalia,Salpingella,Scrippsiella,Skeletonema,Steenstrupiella,Stephanopyxis,Striatella,Strombidium,Surirella,Synedra,Thalassionema,Thalassiosira,Thalassiothrix,Tintinnidium,Tintinnopsis,Toxarium,Triadinium,Triceratium,Trichodesmium,Trigonium,Tripos,Tripos (Amphiceratium),Tripos (Ceratium),Tripos (gametes),Tripos (Tripoceratium),Tryblionella,Undella,Vorticella,Xystonella,Xystonellopsis
YON20200212,Yongala,-19.30847,147.61842,2020-02-13 09:47:00,2020,2,13,09:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.1,0,0,0,0,0,153.06,0,0,0,2551.03,255.1,0,0,0,0,0,0,0,0,0,0,0,0,102.04,0,0,0,0,3163.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734.7,0,51.02,0,0,0,0,357.14,0,0,0,0,0,0,0,0,2704.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.18,0,0,0,0,2755.1,0,0,0,0,0,0,0,0,1275.5,0,0,255.1,0,0,0,0,0,0,0,153.06,306.12,0,0,0,0,0,0,204.08,0,0,0,10.2,0,10.2,0,0,0,0,0
DAR20200204_0630,Darwin,-12.4,130.76805,2020-02-04 16:01:00,2020,2,4,16:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,2400,1100,0,0,0,0,0,0,0,0,0,0,300,0,1700,0,0,0,0,300,0,0,0,0,0,0,300,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,100,0,0,0,0,300,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,100,0,0,4600,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,15400,4600,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04 14:25:00,2020,2,4,14:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.09,0,0,0,703.89,0,48.54,0,0,0,194.17,0,0,0,0,0,0,0,48.54,0,0,0,0,4611.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.36,0,48.54,0,0,0,0,24.27,0,0,0,0,0,0,0,121.36,315.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0,24.27,0,0,242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.63,169.9,0,48.54,0,0,0,0,0
ROT20200128,Rottnest Island,-32,115.41667,2020-01-28 09:39:00,2020,1,28,09:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.53,0,0,0,294.12,0,0,0,0,0,0,24.51,0,0,0,0,0,0,612.75,0,0,0,0,49.02,0,24.51,0,490.2,0,0,0,0,0,0,0,0,0,0,24.51,0,0,0,0,0,0,0,0,73.53,0,98.04,0,0,0,0,0,0,0,0,0,0,0,24.51,98.04,98.04,24.51,0,0,0,0,0,0,0,0,0,0,0,24.51,0,0,0,0,0,0,0,0,24.51,0,0,0,0,0,0,0,0,0,0,49.02,0,0,24.51,0,1372.55,0,0,0,0,0,0,0,0,24.51,0,0,24.51,0,0,0,122.55,24.51,0,0,245.1,24.51,0,0,0,0,0,0,0,0,0,0,73.53,0,73.53,0,0,0,0,0
NSI20200122,North Stradbroke,-27.345,153.562,2020-01-22 10:35:00,2020,1,22,10:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,100,0,0,0,200,0,0,0,0,0,1200,0,0,0,0,0,0,0,700,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
YON20200116,Yongala,-19.30847,147.61842,2020-01-16 10:05:00,2020,1,16,10:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,202.02,0,0,0,176.77,0,0,0,0,0,0,0,0,0,656.57,0,0,0,0,0,0,0,0,0,25.25,0,0,0,328.28,0,0,0,0,151.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,0,0,0,0,0,176.77,0,252.53,0,75.76,0,0,151.52,0,0,0,0,0,0,75.76,0,1035.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.8,0,0,25.25,0,707.07,0,0,0,25.25,0,0,0,0,50.5,0,0,25.25,0,0,0,0,0,0,0,25.25,25.25,0,0,0,0,0,0,454545.45,0,0,0,10.1,0,0,0,0,0,0,0
MAI20200106,Maria Island,-42.59667,148.23333,2020-01-07 09:45:00,2020,1,7,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.33,0,0,0,0,0,66.67,0,0,0,533.33,0,0,0,0,0,0,0,0,0,0,0,0,0,5066.67,0,0,0,0,200,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,133.33,0,0,0,0,0,0,0,0,0,0,0,266.67,0,933.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,133.33,0,66.67,0,8200,0,0,0,0,0,0,0,0,66.67,0,0,1066.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
NSI20191220,North Stradbroke,-27.345,153.562,2019-12-20 10:20:00,2019,12,20,10:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.42,0,0,0,0,0,2186.88,0,0,0,2584.49,0,0,0,0,0,795.23,0,0,0,0,0,0,0,1391.65,0,0,0,0,16302.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.62,0,0,0,397.61,0,0,198.81,0,0,0,0,0,0,0,0,8946.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.81,0,0,0,0,35984.09,0,0,0,0,0,0,0,0,1789.27,0,0,0,0,0,0,0,0,0,0,1789.27,1391.65,0,0,0,0,0,0,3976.14,0,0,0,0,0,0,0,0,0,0,0
ROT20191218,Rottnest Island,-32,115.41667,2019-12-18 09:15:00,2019,12,18,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.34,101.01,67.34,0,0,0,0,0,0,0,0,0,0,0,606.06,0,0,0,0,168.35,0,0,0,0,0,0,101.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.34,0,0,0,0,0,0,67.34,0,0,0,0,0,0,33.67,0,134.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67,0,0,0,0,33.67,67.34,0,7710.44,0,0,0,0,0,0,0,0,101.01,0,67.34,33.67,0,0,0,67.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,20.2,0,10.1,0,33.67,0,0,0
PHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17 09:02:00,2019,12,17,09:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.58,0,0,0,9.52,0,0,0,0,0,0,0,0,0,380.95,0,0,0,0,76.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476.19,0,190.48,0,0,0,0,0,0,0,0,0,0,0,342.86,38.1,609.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0,0,0,0,1142.86,38.1,76.19,76.19,0,1523.81,0,0,0,0,0,0,0,0,0,0,0,419.05,0,0,0,0,76.19,0,0,76.19,495.24,0,0,0,0,0,0,0,0,0,9.52,9.52,0,0,0,0,0,0,0
MAI20191210,Maria Island,-42.59667,148.23333,2019-12-11 09:30:00,2019,12,11,09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666.67,21333.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333.33,0,0,0,0,0,0,0,0,0,0,0,666.67,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,666.67,0,0,0,0,0,0,0,666.67,135333.33,0,0,0,0,0,0,0,0,0,110,140,0,20,0,0,0,0,0
YON20191202,Yongala,-19.30847,147.61842,2019-12-03 09:45:00,2019,12,3,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,6200,0,0,0,9800,0,600,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,6800,0,1400,0,0,0,0,400,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,11800,0,0,0,10,0,0,0,0,7000,0,0,0,0,0,0,0,200,0,0,1200,1000,0,0,0,0,0,0,4000,0,0,10,10,0,0,0,0,0,0,0
KAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27 14:25:00,2019,11,27,14:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,150,0,0,0,0,0,0,0,0,0,1700,0,50,0,0,0,0,0,0,0,0,50,0,0,450,0,0,0,0,950,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,50,0,2750,0,0,0,0,0,0,0,0,450,0,0,100,1150,0,0,0,50,0,0,150,150,0,0,0,0,0,0,0,0,0,40,10,0,20,0,0,0,0,0
ROT20191126,Rottnest Island,-32,115.41667,2019-11-26 09:30:00,2019,11,26,09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.01,0,0,0,0,0,66.01,0,0,0,462.05,0,132.01,0,0,0,132.01,0,0,0,0,0,0,0,858.09,0,0,0,0,1914.19,0,0,0,330.03,0,0,198.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.01,0,0,0,0,0,0,198.02,0,132.02,198.02,0,0,0,0,0,0,0,0,0,0,0,66.01,0,66.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.01,0,0,0,0,14257.43,0,0,0,0,0,0,0,0,132.02,0,0,66.01,0,0,0,0,0,0,0,132.02,0,0,0,0,0,0,0,5280.53,0,0,0,39.6,0,9.9,0,0,0,0,0
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00,2019,11,22,09:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695.42,0,0,0,0,1347.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17969.45,0,449.24,0,0,0,0,1347.71,0,0,0,0,0,0,0,16172.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.24,0,32345.01,0,0,0,0,0,0,0,0,51212.94,0,0,6289.31,0,0,0,0,0,0,0,0,34141.96,0,0,0,0,0,0,0,0,0,9.43,75.47,0,0,0,0,0,0,0
PHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19 09:15:00,2019,11,19,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.92,0,0,0,0,186.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.75,0,0,0,0,62.31,0,0,0,0,0,0,0,0,186.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,249.22,0,0,0,0,0,0,0,0,0,0,15451.71,124.61,62.31,124.61,0,1433.03,0,0,0,0,0,0,0,0,0,0,0,186.92,0,0,0,0,0,0,0,0,249.22,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0
YON20191107,Yongala,-19.30847,147.61842,2019-11-07 10:10:00,2019,11,7,10:10:00,0,0,0,0,0,0,0,0,0,125,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,925,0,25,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,75,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25,0,0,50,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,175,25,50,0,0,2350,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,2500,0,0,0,0,0,10,0,0,0,0,0
DAR20191105,Darwin,-12.4,130.76805,2019-11-06 07:38:00,2019,11,6,07:38:00,0,0,0,0,0,0,0,0,0,63.49,0,0,0,0,0,0,0,380.95,0,0,0,0,0,126.98,0,0,0,1206.35,0,126.98,0,0,0,0,0,0,0,0,0,0,0,380.95,0,0,0,0,0,0,0,0,0,0,0,0,126.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.46,0,63.49,0,0,0,0,126.98,0,0,0,0,0,0,0,63.49,190.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.91,0,0,0,0,0,0,0,0,0,0,444.44,0,0,63.49,0,0,63.49,0,5714.28,63.49,0,0,0,0,0,0,0,326.98,0,0,317.46,0,0,0,0,0,0,0,5587.3,1269.84,0,0,190.48,0,0,0,1904.76,0,0,0,9.52,0,9.52,0,0,0,0,0
