SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3
18-17,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7
45-25,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
60-9,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
76-37,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
76-65,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3
43-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,7333.3
16-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,33333.3
9-21,Tripos spp.,Dinoflagellate,Tripos,spp.,10000
43-33,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3666.7
1-5,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
1-17,Tripos longipes,Dinoflagellate,Tripos (Tripoceratium),longipes,6666.7
18-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3
18-33,Paralia sulcata,Centric diatom,Paralia,sulcata,20000
18-49,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,6666.7
15-53,Echinoderm spine,Other,(null),(null),3333.3
14-5,Gold balls,Other,(null),(null),6666.7
4-13,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,84944
7-45,Fungal hyphae,Other,(null),(null),319650
19-53,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,3333.3
43-17,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3666.7
43-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,14666.7
52-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,200000
53-89,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,33333.3
88-16,Pennate diatom,Pennate diatom,(null),(null),3333.3
88-19,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
89-24,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
89-28,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,6666.7
89-40,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
89-42,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
89-51,Corethron pennatum,Centric diatom,Corethron,pennatum,10000
90-1,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,10000
90-2,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,10000
90-4,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
90-21,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
90-21,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3
52-89,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,300000
91-43,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,3333.3
91-46,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
91-47,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
91-48,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
91-49,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
92-7,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-12,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
92-14,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-15,Proboscia truncata,Centric diatom,Proboscia,truncata,3333.3
92-21,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
52-85,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,13333.3
52-57,Fish scales,Other,(null),(null),666.7
92-33,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
92-34,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,13333.3
93-3,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7
93-6,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
52-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,46666.7
53-73,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,10000
91-10,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
91-17,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
74-21,Nematocysts,Other,(null),(null),3333.3
91-24,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7
91-31,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
91-34,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3
91-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3
91-41,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
52-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,153333.3
86-2,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000
86-2,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
86-24,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
87-1,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
87-1,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
87-18,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
87-23,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
87-30,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
87-43,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
87-44,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
87-54,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,6666.7
87-61,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
87-72,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
176-33,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
184-29,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
61-9,Plastic,Other,(null),(null),666.7
187-9,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,6666.7
128-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
127-5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
194-21,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3
193-25,Coscinodiscus spp. 100-150 µm,Centric diatom,Coscinodiscus,spp.,666.7
61-29,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
220-21,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,40000
169-49,Plastic,Other,(null),(null),666.7
220-74,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
213-9,Foraminifera,Foraminifera,(null),(null),666.7
221-39,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3
206-29,Asterionellopsis glacialis,Pennate diatom,Asterionellopsis,glacialis,3333.3
206-41,Codonellopsis spp.,Ciliate,Codonellopsis,spp.,666.7
271-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
268-17,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
270-17,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
268-53,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
270-73,Plastic,Other,(null),(null),666.7
93-12,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
93-14,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
93-19,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
93-20,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
93-23,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
93-28,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
93-33,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,33333.3
93-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
94-1,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,3333.3
94-3,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
94-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
194-1,Foraminifera,Foraminifera,(null),(null),666.7
178-73,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,20000
215-7,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
215-12,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3
215-87,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
216-12,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
219-11,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3
219-32,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
209-14,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
220-15,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
220-26,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,6666.7
220-49,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
220-53,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
220-55,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,3333.3
220-63,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3
211-45,Plastic,Other,(null),(null),666.7
270-1,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
244-29,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,3333.3
244-61,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
239-9,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,10000
270-9,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,6666.7
268-5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,33333.3
53-93,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,666.7
271-41,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3
271-77,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
240-9,Cerataulina spp.,Centric diatom,Cerataulina,spp.,3333.3
240-9,Navicula - shaped,Pennate diatom,(null),(null),3333.3
191-49,Plastic,Other,(null),(null),773.3
208-10,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
209-52,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,6666.7
209-55,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
209-55,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,13333.3
209-73,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7
209-81,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
220-32,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,13333.3
220-36,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,20000
220-44,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
221-34,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3
211-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,200000
244-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
240-41,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
240-45,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,20000
271-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
271-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
270-1,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
271-65,Tripos candelabrus,Dinoflagellate,Tripos (Ceratium),candelabrus,666.7
51-25,Plastic,Other,(null),(null),666.7
51-73,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
68-13,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,10000
68-29,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,23333.3
68-33,Cerataulina spp.,Centric diatom,Cerataulina,spp.,6666.7
68-53,Nematocysts,Other,(null),(null),3333.3
63-25,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),3800
66-29,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,10000
67-18,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
63-13,Guinardia spp.,Centric diatom,Guinardia,spp.,22800
63-13,Pennate diatom > 10 µm,Pennate diatom,(null),(null),3800
77-1,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3
77-93,Plastic,Other,(null),(null),666.7
63-5,Spicule,Other,(null),(null),3800
82-21,Plastic,Other,(null),(null),666.7
83-61,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7
65-13,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
64-9,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,3333.3
62-1,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
67-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,666.7
82-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,20000
81-1,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
65-17,Skeletonema spp.,Centric diatom,Skeletonema,spp.,3333.3
65-25,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
64-29,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
64-21,Radiolarian,Radiozoa,(null),(null),3333.3
64-21,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
64-21,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3
65-41,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,6666.7
81-45,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7
98-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
51-5,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3
51-17,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
91-2,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
91-4,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,13333.3
66-13,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
66-17,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
61-29,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3
67-65,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3
62-13,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3
63-25,Guinardia spp.,Centric diatom,Guinardia,spp.,3800
155-23,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
158-28,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3
158-31,Proboscia truncata,Centric diatom,Proboscia,truncata,3333.3
158-36,Radiolarian,Radiozoa,(null),(null),3333.3
158-37,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,6666.7
158-40,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
158-40,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
158-40,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
158-47,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
158-47,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,23333.3
159-6,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7
158-57,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,23333.3
158-59,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000
158-61,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,3333.3
158-64,Corethron pennatum,Centric diatom,Corethron,pennatum,13333.3
158-65,Eucampia antarctica,Centric diatom,Eucampia,antarctica,3333.3
158-70,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,10000
158-77,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
158-78,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,33333.3
158-78,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
158-83,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3
155-31,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3
156-12,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
156-12,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,6666.7
156-13,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
156-14,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
156-16,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
156-16,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,30000
156-16,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,20000
156-17,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
156-18,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
156-23,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,13333.3
156-29,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
157-7,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
157-8,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
157-8,Rhizosolenia chunii,Centric diatom,Rhizosolenia,chunni,3333.3
100-93,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
117-33,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6666.7
156-5,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
156-7,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,33333.3
156-8,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
158-1,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
156-11,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,10000
158-8,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
158-10,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6666.7
158-11,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
158-12,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
158-18,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
158-22,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3
158-22,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,33333.3
158-23,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,30000
158-23,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,20000
158-24,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,13333.3
157-12,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
157-17,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
157-20,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,30000
157-21,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,33333.3
157-26,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,30000
157-28,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3
157-30,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,33333.3
157-33,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
157-34,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
116-13,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3
120-17,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
113-5,Foraminifera,Foraminifera,(null),(null),666.7
155-3,Dactyliosolen tenuijunctus,Centric diatom,Dactyliosolen,tenuijunctus,3333.3
155-4,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,20000
155-5,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
155-6,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
155-25,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000
155-27,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
155-30,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3
118-21,Foraminifera,Foraminifera,(null),(null),666.7
155-37,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,3333.3
155-40,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3
155-39,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,30000
155-41,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3
156-1,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3
156-4,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,10000
157-37,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
157-37,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
157-36,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3
157-36,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,10000
157-46,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7
157-46,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,40000
157-47,Chaetoceros pendulus,Centric diatom,Chaetoceros,pendulus,6666.7
157-49,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,23333.3
157-53,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6666.7
159-37,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
159-52,Proboscia alata,Centric diatom,Proboscia,alata,6666.7
159-53,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
159-55,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,13333.3
159-67,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
159-68,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
159-74,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7
159-76,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
160-8,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
160-17,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
161-6,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
161-18,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
161-33,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
161-33,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
161-44,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,6666.7
161-50,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
163-5,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
163-8,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
163-40,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
163-61,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
167-15,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3
167-32,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,3333.3
167-34,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,23333.3
