SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3,BIOVOL_UM3_M3
76-65,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3,218165972222.222222222222222222222222222
69-5,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7,2638935600.000000000000000000000000000007
43-17,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3666.7,52916156.56250000000000000000000000000003
43-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,14666.7,46076653.33333333333333333333333333333312
43-29,Tripos spp.,Dinoflagellate,Tripos,spp.,7333.3,440000000
43-33,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3666.7,1036724700.000000000000000000000000000005
43-37,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,58666.7,33589880.28000000000000000000000000000013
43-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,14666.7,103672470
43-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,7333.3,1049395779.666666666666666666666666666666
43-65,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,3666.7,14998910.59027777777777777777777777777776
14-5,Gold balls,Other,(null),(null),6666.7,(null)
67-65,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3,69813111.11111111111111111111111111111137
13-57,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
67-18,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
67-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,666.7,4712384.99999999999999999999999999999999
18-1,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
18-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7,2638935600.000000000000000000000000000007
18-17,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7,46076653.33333333333333333333333333333322
18-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3,94247699.99999999999999999999999999999976
18-33,Paralia sulcata,Centric diatom,Paralia,sulcata,20000,2309068650
18-41,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7,442440591.666666666666666666666666666667
18-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7,953996163.333333333333333333333333333333
18-49,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,6666.7,436331944444.4444444444444444444444444436
60-9,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
69-85,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7,400000000
62-1,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
62-13,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3,218165.972222222222222222222222222222222
77-1,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3,218165972222.222222222222222222222222222
68-13,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,10000,40906119.7916666666666666666666666666666
68-29,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,23333.3,95447612.84722222222222222222222222222193
68-33,Cerataulina spp.,Centric diatom,Cerataulina,spp.,6666.7,276983518.333333333333333333333333333333
66-13,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3,124572770.138888888888888888888888888889
66-17,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
66-29,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,10000,2827431000.000000000000000000000000000012
68-53,Nematocysts,Other,(null),(null),3333.3,(null)
61-9,Plastic,Other,(null),(null),666.7,(null)
61-17,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
61-29,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
61-29,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3,30000000.00000000000000000000000000000002
51-73,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
77-93,Plastic,Other,(null),(null),666.7,(null)
16-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,33333.3,235619250
53-73,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,10000,3030652.603125
53-89,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,33333.3,136353732.638888888888888888888888888889
53-93,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,666.7,94945831.11111111111111111111111111111083
7-13,Aspergillus sydowii,Other,Aspergillus,sydowii,319650,(null)
7-45,Fungal hyphae,Other,(null),(null),319650,(null)
74-21,Nematocysts,Other,(null),(null),3333.3,(null)
4-57,Guinardia spp.,Centric diatom,Guinardia,spp.,10618,266859220.96
4-65,Radiolarian,Radiozoa,(null),(null),3539.3,1853189.03444444444444444444444444444444
19-41,Radiolarian,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
19-53,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,3333.3,216420644.444444444444444444444444444445
19-65,Gold balls,Other,(null),(null),6666.7,(null)
19-77,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
19-85,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7,46076653.33333333333333333333333333333322
52-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,153333.3,1083848550.000000000000000000000000000001
52-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,46666.7,329866950
52-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,200000,1413715500
52-57,Fish scales,Other,(null),(null),666.7,(null)
192-61,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3,13635373.26388888888888888888888888888887
83-61,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7,254468789.999999999999999999999999999999
81-45,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7,254468789.999999999999999999999999999999
86-2,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000,31415900
86-2,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
86-24,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
87-1,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
87-1,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
87-18,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3,4673115.125
87-23,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3,97738355.55555555555555555555555555555572
87-30,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
87-43,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7,7668970.25555555555555555555555555555554
87-44,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
87-54,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,6666.7,3071558.72291666666666666666666666666667
87-61,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
87-72,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
88-16,Pennate diatom,Pennate diatom,(null),(null),3333.3,600000.0000000000000000000000000000000003
88-19,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
89-6,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
89-24,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3,97738355.55555555555555555555555555555572
89-28,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,6666.7,3071558.72291666666666666666666666666667
89-40,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7,17509128.26666666666666666666666666666666
89-42,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
89-51,Corethron pennatum,Centric diatom,Corethron,pennatum,10000,293215066.666666666666666666666666666667
90-1,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,10000,63711445.2
90-2,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,10000,1327321775
90-4,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
90-21,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
90-21,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3,5654862
91-2,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000,1286718750
91-4,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,13333.3,2049666666.666666666666666666666666666662
91-10,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3,21237148.40000000000000000000000000000001
91-17,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3,21237148.40000000000000000000000000000001
91-24,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7,42474296.79999999999999999999999999999999
91-31,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
91-34,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3,17671443.75000000000000000000000000000001
91-38,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
91-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3,2287500000.000000000000000000000000000007
91-41,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
91-43,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,3333.3,1535779.36145833333333333333333333333333
91-46,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
91-47,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000,26263692.4
91-48,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
91-49,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3,512416666.666666666666666666666666666667
92-7,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
92-12,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000,26263692.4
82-21,Plastic,Other,(null),(null),666.7,(null)
82-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,20000,62831800
92-14,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
92-15,Proboscia truncata,Centric diatom,Proboscia,truncata,3333.3,221220295.833333333333333333333333333333
92-21,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7,3351029333.333333333333333333333333333332
92-33,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3,512416666.666666666666666666666666666667
92-34,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,13333.3,18692460.49999999999999999999999999999995
93-3,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7,125663600
93-6,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
93-12,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3,259856125.9765625
93-14,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7,1024833333.333333333333333333333333333333
93-19,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
93-20,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7,2126676128.913916666666666666666666666666
93-23,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
93-28,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3,259856125.9765625
93-28,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
93-33,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,33333.3,10633380644.5695833333333333333333333333
93-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000,857812500
94-1,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,3333.3,442440591.666666666666666666666666666667
94-3,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3,124572770.138888888888888888888888888889
94-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3,1429687499.999999999999999999999999999999
187-37,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3,13635373.26388888888888888888888888888887
65-13,Corethron spp.,Centric diatom,Corethron,spp.,6666.7,80448702.25694444444444444444444444444465
65-17,Skeletonema spp.,Centric diatom,Skeletonema,spp.,3333.3,1368336.97777777777777777777777777777778
65-25,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
65-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
65-37,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
65-41,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,6666.7,27270746.52777777777777777777777777777773
64-9,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,3333.3,837757.3333333333333333333333333333333338
64-21,Radiolarian,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
64-21,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
64-21,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3,34088433.15972222222222222222222222222202
64-29,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
113-5,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
129-25,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
129-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
190-13,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3,69813111.11111111111111111111111111111137
190-25,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
190-29,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3,20525054.66666666666666666666666666666668
190-49,Cylindrical diatom,Centric diatom,(null),(null),3333.3,5235983.33333333333333333333333333333334
98-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
116-13,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3,1005308.8
117-33,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6666.7,2010617.6
118-21,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
128-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
120-17,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
127-5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
100-93,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
108-1,Tripos ranipes,Dinoflagellate,Tripos (Tripoceratium),ranipes,673.3,43716970.1777777777777777777777777777778
108-45,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,30300,95190177
145-29,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,23333.3,164933475
145-41,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3,34088433.15972222222222222222222222222202
146-1,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
146-7,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
146-7,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3,1429687499.999999999999999999999999999999
146-9,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
146-15,Pennate diatom,Pennate diatom,(null),(null),3333.3,600000.0000000000000000000000000000000003
146-17,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000,428906250
146-24,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10000,70685775
146-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10000,70685775
146-34,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,20000,28038690.75
146-42,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3,8754564.13333333333333333333333333333334
146-48,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
146-51,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,6666.7,249145540.277777777777777777777777777778
146-62,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,33333.3,87545641.33333333333333333333333333333325
146-68,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,3333.3,837757.3333333333333333333333333333333338
146-71,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000,26263692.4
147-3,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,3333.3,837757.3333333333333333333333333333333338
147-4,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7,2126676128.913916666666666666666666666666
147-18,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3,1272343950.000000000000000000000000000001
147-21,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000,31415900
147-21,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
147-22,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
147-23,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,23333.3,32711805.87499999999999999999999999999995
147-23,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3,2287500000.000000000000000000000000000007
147-26,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
147-28,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,40000,125663600
147-33,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3,124572770.138888888888888888888888888889
147-39,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3,124572770.138888888888888888888888888889
147-46,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,10000,5026544000
147-47,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,3333.3,837757.3333333333333333333333333333333338
147-47,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
147-68,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3,34088433.15972222222222222222222222222202
147-75,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
147-79,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
147-84,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
135-13,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
135-21,Ceratocorys spp.,Dinoflagellate,Ceratocorys,spp.,666.7,87964519.99999999999999999999999999999985
135-25,Tripos fusus type,Dinoflagellate,Tripos (Amphiceratium),fusus type,3333.3,942477000.000000000000000000000000000004
135-37,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
135-37,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7,254468789.999999999999999999999999999999
135-41,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
136-37,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7,43284128.88888888888888888888888888888889
144-1,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
144-3,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3,94247699.99999999999999999999999999999976
144-4,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,30000,94247700
144-18,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,20000,62831800
144-21,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
144-27,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7,42474296.79999999999999999999999999999999
144-28,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
144-30,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000,857812500
144-44,Centric diatom,Centric diatom,(null),(null),3333.3,5235983.33333333333333333333333333333334
144-52,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000,1286718750
144-62,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000,428906250
144-64,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
144-76,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3,94247699.99999999999999999999999999999976
144-81,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,20000,28038690.75
144-83,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
144-84,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
144-85,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
145-2,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
145-5,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3,2287500000.000000000000000000000000000007
145-8,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
145-9,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
145-12,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
145-13,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3,1000781249.999999999999999999999999999999
145-14,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3,1000781249.999999999999999999999999999999
145-15,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,20000,141371550
145-18,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
145-19,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,13333.3,15337940.51111111111111111111111111111105
155-23,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7,7668970.25555555555555555555555555555554
155-25,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000,58904812.5
155-27,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000,1286718750
155-30,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3,420000.0000000000000000000000000000000002
155-31,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3,420000.0000000000000000000000000000000002
155-37,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,3333.3,7853975
155-39,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,30000,191134335.6
155-40,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3,16324186.66666666666666666666666666666667
155-41,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
156-1,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3,35018256.53333333333333333333333333333325
