SAMPLE,NRS_CODE,TAXON_NAME,TAXON_PER_M3
13592,NSI20141020,"Lethrinus spp.",0.116
13592,NSI20141020,"Pomacentridae - undifferentiated",0.018
13592,NSI20141020,"Labridae - undifferentiated",0.08
13592,NSI20141020,"Pinguipedidae - undifferentiated",0.009
13592,NSI20141020,"Callionymidae - undifferentiated",0.045
13592,NSI20141020,"Gobiidae - undifferentiated",0.036
13592,NSI20141020,"Scombridae - undifferentiated",0.045
13592,NSI20141020,"Engyprosopon spp.",0.062
13593,PHB20140911,"Sardinops sagax",0.012
13593,PHB20140911,"Myctophidae - undifferentiated",0.006
13593,PHB20140911,"Platycephalidae - undifferentiated",0.018
13593,PHB20140911,"Trachurus novaezelandiae",0.036
13593,PHB20140911,"Chrysophrys auratus",0.012
13593,PHB20140911,"Lophonectes gallus",0.006
13593,PHB20140911,"Monacanthidae - undifferentiated",0.03
13593,PHB20140911,"Sardinops sagax",0.022
13593,PHB20140911,"Platycephalidae - undifferentiated",0.011
13593,PHB20140911,"Trachurus novaezelandiae",0.022
13593,PHB20140911,"Lophonectes gallus",0.006
13593,PHB20140911,"Monacanthidae - undifferentiated",0.017
13594,PHB20141021,"Trachurus novaezelandiae",0.002
13594,PHB20141021,"Sardinops sagax",0.005
13594,PHB20141021,"Scorpaenidae - undifferentiated",0.005
13594,PHB20141021,"Triglidae & Peristediidae - undifferentiated",0.005
13594,PHB20141021,"Platycephalidae - undifferentiated",0.027
13594,PHB20141021,"Acanthistius spp.",0.005
13594,PHB20141021,"Trachurus novaezelandiae",0.038
13594,PHB20141021,"Pseudocaranx georgianus",0.011
13594,PHB20141021,"Girella tricuspidata",0.011
13594,PHB20141021,"Labridae - undifferentiated",0.005
13594,PHB20141021,"Callionymidae - undifferentiated",0.005
13594,PHB20141021,"Arnoglossus spp.",0.005
13594,PHB20141021,"Pseudorhombus spp.",0.011
13594,PHB20141021,"Monacanthidae - undifferentiated",0.005
13595,NSI20141107,"Gonostomatidae - undifferentiated",0.008
13595,NSI20141107,"Myctophidae - undifferentiated",0.031
13595,NSI20141107,"Triglidae & Peristediidae - undifferentiated",0.008
13595,NSI20141107,"Trachurus novaezelandiae",0.008
13595,NSI20141107,"Pseudocaranx georgianus",0.008
13595,NSI20141107,"Pomacentridae - undifferentiated",0.023
13595,NSI20141107,"Scombridae - undifferentiated",0.26
13595,NSI20141107,"Gonostomatidae - undifferentiated",0.018
13595,NSI20141107,"Myctophidae - undifferentiated",0.026
13595,NSI20141107,"Scorpaenidae - undifferentiated",0.018
13595,NSI20141107,"Triglidae & Peristediidae - undifferentiated",0.009
13595,NSI20141107,"Decapterus spp.",0.018
13595,NSI20141107,"Lutjanidae - undifferentiated",0.009
13595,NSI20141107,"Scombridae - undifferentiated",0.353
13595,NSI20141107,"Engyprosopon spp.",0.009
13596,NSI20141223,""Superclass" Pisces - undifferentiated",0.007
13596,NSI20141223,"Myctophidae - undifferentiated",0.007
13596,NSI20141223,"Holocentridae - undifferentiated",0.013
13596,NSI20141223,"Priacanthidae - undifferentiated",0.013
13596,NSI20141223,"Coryphaena spp.",0.013
13596,NSI20141223,"Lutjanidae - undifferentiated",0.026
13596,NSI20141223,"Lethrinus spp.",0.007
13596,NSI20141223,"Pomacentridae - undifferentiated",0.007
13596,NSI20141223,"Labridae - undifferentiated",0.007
13596,NSI20141223,"Microdesmidae - undifferentiated",0.013
13596,NSI20141223,"Scombridae - undifferentiated",0.222
13596,NSI20141223,"Grammatobothus spp.",0.013
13596,NSI20141223,"Myctophidae - undifferentiated",0.007
13596,NSI20141223,"Priacanthidae - undifferentiated",0.02
13596,NSI20141223,"Lutjanidae - undifferentiated",0.026
13596,NSI20141223,"Mullidae - undifferentiated",0.013
13596,NSI20141223,"Chaetodontidae - undifferentiated",0.007
13596,NSI20141223,"Pomacentridae - undifferentiated",0.007
13596,NSI20141223,"Gobiidae - undifferentiated",0.007
13596,NSI20141223,"Scombridae - undifferentiated",0.268
13596,NSI20141223,"Grammatobothus spp.",0.007
13597,NSI20150119,""Superclass" Pisces - undifferentiated",0.008
13597,NSI20150119,"Gonostomatidae - undifferentiated",0.008
13597,NSI20150119,"Holocentridae - undifferentiated",0.008
13597,NSI20150119,"Scorpaenidae - undifferentiated",0.008
13597,NSI20150119,"Priacanthidae - undifferentiated",0.008
13597,NSI20150119,"Carangidae - undifferentiated",0.008
13597,NSI20150119,"Lutjanidae - undifferentiated",0.008
13597,NSI20150119,"Mullidae - undifferentiated",0.108
13597,NSI20150119,"Chaetodontidae - undifferentiated",0.008
13597,NSI20150119,"Callionymidae - undifferentiated",0.008
13597,NSI20150119,"Gobiidae - undifferentiated",0.008
13597,NSI20150119,"Scombridae - undifferentiated",0.093
13597,NSI20150119,""Superclass" Pisces - undifferentiated",0.017
13597,NSI20150119,"Myctophidae - undifferentiated",0.008
13597,NSI20150119,"Scorpaenidae - undifferentiated",0.042
13597,NSI20150119,"Serranidae subfam. Anthiinae",0.008
13597,NSI20150119,"Serranidae subfam. Epinephelinae",0.008
13597,NSI20150119,"Priacanthidae - undifferentiated",0.008
13597,NSI20150119,"Carangidae - undifferentiated",0.017
13597,NSI20150119,"Lutjanidae - undifferentiated",0.042
13597,NSI20150119,"Mullidae - undifferentiated",0.017
13597,NSI20150119,"Chaetodontidae - undifferentiated",0.017
13597,NSI20150119,"Sphyraena spp.",0.017
13597,NSI20150119,"Labridae - undifferentiated",0.025
13597,NSI20150119,"Gobiidae - undifferentiated",0.008
13597,NSI20150119,"Microdesmidae - undifferentiated",0.008
13597,NSI20150119,"Scombridae - undifferentiated",0.093
13598,MAI20141127,""Superclass" Pisces - undifferentiated",0.004
13598,MAI20141127,"Myctophidae - undifferentiated",0.002
13598,MAI20141127,"Helicolenus spp.",0.004
13598,MAI20141127,"Chironemus spp.",0.019
13598,MAI20141127,"Labridae - undifferentiated",0.027
13598,MAI20141127,""Superclass" Pisces - undifferentiated",0.002
13598,MAI20141127,"Myctophidae - undifferentiated",0.002
13598,MAI20141127,"Stigmatopora nigra",0.004
13598,MAI20141127,"Scorpaenidae - undifferentiated",0.017
13598,MAI20141127,"Lepidotrigla papilio",0.002
13598,MAI20141127,"Chironemus spp.",0.01
13598,MAI20141127,"Labridae - undifferentiated",0.01
13598,MAI20141127,"Monacanthidae - undifferentiated",0.002
13599,MAI20141208,"Trachurus declivis",0.003
13599,MAI20141208,"Labridae - undifferentiated",0.003
13599,MAI20141208,"Monacanthidae - undifferentiated",0.003
13599,MAI20141208,"Engraulis australis",0.008
13599,MAI20141208,"Myctophidae - undifferentiated",0.002
13599,MAI20141208,"Aulotrachichthys spp.",0.002
13599,MAI20141208,"Helicolenus spp.",0.004
13599,MAI20141208,"Platycephalidae - undifferentiated",0.002
13599,MAI20141208,"Latridae - undifferentiated",0.002
13599,MAI20141208,"Bothidae - undifferentiated",0.002
13600,KAI20141029,"Sardinops sagax",0.099
13600,KAI20141029,"Scorpaenidae - undifferentiated",0.011
13600,KAI20141029,"Serranidae subfam. Anthiinae",0.011
13600,KAI20141029,"Carangidae - undifferentiated",0.022
13600,KAI20141029,"Callionymidae - undifferentiated",0.011
13600,KAI20141029,"Sardinops sagax",0.113
13601,KAI20141201,"Sardinops sagax",0.02
13601,KAI20141201,"Scorpaenidae - undifferentiated",0.005
13601,KAI20141201,"Triglidae & Peristediidae - undifferentiated",0.01
13601,KAI20141201,"Carangidae - undifferentiated",0.02
13601,KAI20141201,"Mullidae - undifferentiated",0.111
13601,KAI20141201,"Labridae - undifferentiated",0.005
13601,KAI20141201,"Tripterygiidae - undifferentiated",0.005
13601,KAI20141201,"Trichiuridae - undifferentiated",0.005
13601,KAI20141201,"Scomber australasicus",0.206
13601,KAI20141201,"Monacanthidae - undifferentiated",0.01
13601,KAI20141201,""Superclass" Pisces - undifferentiated",0.038
13601,KAI20141201,"Sardinops sagax",0.041
13601,KAI20141201,"Triglidae & Peristediidae - undifferentiated",0.004
13601,KAI20141201,"Carangidae - undifferentiated",0.004
13601,KAI20141201,"Mullidae - undifferentiated",0.315
13601,KAI20141201,"Labridae - undifferentiated",0.004
13601,KAI20141201,"Tripterygiidae - undifferentiated",0.053
13601,KAI20141201,"Scomber australasicus",0.098
13601,KAI20141201,"Monacanthidae - undifferentiated",0.008
13602,MAI20150224,""Superclass" Pisces - undifferentiated",0.006
13602,MAI20150224,"Sardinops sagax",0.016
13602,MAI20150224,"Engraulis australis",0.202
13602,MAI20150224,"Gaidropsarus spp.",0.003
13602,MAI20150224,"Aulotrachichthys spp.",0.009
13602,MAI20150224,"Lepidotrigla papilio",0.205
13602,MAI20150224,"Platycephalidae - undifferentiated",0.003
13602,MAI20150224,"Sillago flindersi",0.17
13602,MAI20150224,"Trachurus declivis",0.826
13602,MAI20150224,"Chrysophrys auratus",0.003
13602,MAI20150224,"Mugilidae - undifferentiated",0.006
13602,MAI20150224,"Callionymidae - undifferentiated",0.003
13602,MAI20150224,"Thyrsites atun",0.006
13602,MAI20150224,"Lophonectes gallus",0.385
13602,MAI20150224,"Monacanthidae - undifferentiated",0.022
13602,MAI20150224,"Sardinops sagax",0.036
13602,MAI20150224,"Engraulis australis",0.206
13602,MAI20150224,"Trachichthyidae - undifferentiated",0.009
13602,MAI20150224,"Aulotrachichthys spp.",0.018
13602,MAI20150224,"Neosebastes spp.",0.006
13602,MAI20150224,"Lepidotrigla papilio",0.184
13602,MAI20150224,"Sillago flindersi",0.172
13602,MAI20150224,"Trachurus declivis",0.583
13602,MAI20150224,"Labridae - undifferentiated",0.003
13602,MAI20150224,"Callionymidae - undifferentiated",0.003
13602,MAI20150224,"Thyrsites atun",0.006
13602,MAI20150224,"Seriolella spp.",0.003
13602,MAI20150224,"Lophonectes gallus",0.674
13602,MAI20150224,"Monacanthidae - undifferentiated",0.015
13603,NSI20150304,""Superclass" Pisces - undifferentiated",0.008
13603,NSI20150304,"Engraulis australis",0.033
13603,NSI20150304,"Gonostomatidae - undifferentiated",0.008
13603,NSI20150304,"Antigonia spp.",0.008
13603,NSI20150304,"Pomatomus saltatrix",0.008
13603,NSI20150304,"Carangidae - undifferentiated",0.05
13603,NSI20150304,"Lutjanidae - undifferentiated",0.033
13603,NSI20150304,"Lethrinus spp.",0.008
13603,NSI20150304,"Chaetodontidae - undifferentiated",0.041
13603,NSI20150304,"Sphyraena spp.",0.008
13603,NSI20150304,"Labridae - undifferentiated",0.017
13603,NSI20150304,"Plagiotremus spp.",0.008
13603,NSI20150304,"Callionymidae - undifferentiated",0.058
13603,NSI20150304,"Gobiidae - undifferentiated",0.008
13603,NSI20150304,"Scombridae - undifferentiated",0.033
13603,NSI20150304,"Balistidae - undifferentiated",0.017
13603,NSI20150304,""Superclass" Pisces - undifferentiated",0.033
13603,NSI20150304,"Gonostomatidae - undifferentiated",0.005
13603,NSI20150304,"Myctophidae - undifferentiated",0.005
13603,NSI20150304,"Holocentridae - undifferentiated",0.06
13603,NSI20150304,"Antigonia spp.",0.005
13603,NSI20150304,"Dactyloptena spp.",0.011
13603,NSI20150304,"Apogonidae - undifferentiated",0.005
13603,NSI20150304,"Sillago flindersi",0.005
13603,NSI20150304,"Pomatomus saltatrix",0.005
13603,NSI20150304,"Carangidae - undifferentiated",0.011
13603,NSI20150304,"Lutjanidae - undifferentiated",0.016
13603,NSI20150304,"Nemipteridae - undifferentiated",0.005
13603,NSI20150304,"Lethrinus spp.",0.005
13603,NSI20150304,"Mullidae - undifferentiated",0.016
13603,NSI20150304,"Chaetodontidae - undifferentiated",0.005
13603,NSI20150304,"Pomacentridae - undifferentiated",0.005
13603,NSI20150304,"Labridae - undifferentiated",0.011
13603,NSI20150304,"Callionymidae - undifferentiated",0.027
13604,NSI20150323,"Engraulis australis",0.062
13604,NSI20150323,"Gonostomatidae - undifferentiated",0.008
13604,NSI20150323,"Myctophidae - undifferentiated",0.008
13604,NSI20150323,"Triglidae & Peristediidae - undifferentiated",0.008
13604,NSI20150323,"Platycephalidae - undifferentiated",0.039
13604,NSI20150323,"Serranidae subfam. Anthiinae",0.008
13604,NSI20150323,"Trachurus novaezelandiae",0.015
13604,NSI20150323,"Lutjanidae - undifferentiated",0.046
13604,NSI20150323,"Nemipteridae - undifferentiated",0.015
13604,NSI20150323,"Gerres subfasciatus",0.008
13604,NSI20150323,"Haemulidae - undifferentiated",0.008
13604,NSI20150323,"Lethrinus spp.",0.008
13604,NSI20150323,"Sphyraena spp.",0.008
13604,NSI20150323,"Labridae - undifferentiated",0.015
13604,NSI20150323,"Creedia spp.",0.008
13604,NSI20150323,"Callionymidae - undifferentiated",0.031
13604,NSI20150323,"Gobiidae - undifferentiated",0.031
13604,NSI20150323,"Crossorhombus spp.",0.008
13604,NSI20150323,"Engyprosopon spp.",0.17
13604,NSI20150323,"Grammatobothus spp.",0.015
13604,NSI20150323,"Cynoglossidae - undifferentiated",0.085
13604,NSI20150323,""Superclass" Pisces - undifferentiated",0.005
13604,NSI20150323,"Engraulis australis",0.01
13604,NSI20150323,"Scorpaenidae - undifferentiated",0.01
13604,NSI20150323,"Platycephalidae - undifferentiated",0.01
13604,NSI20150323,"Sillago flindersi",0.01
13604,NSI20150323,"Trachurus novaezelandiae",0.005
13604,NSI20150323,"Lutjanidae - undifferentiated",0.005
13604,NSI20150323,"Nemipteridae - undifferentiated",0.005
13604,NSI20150323,"Gerres subfasciatus",0.01
13604,NSI20150323,"Mullidae - undifferentiated",0.021
13604,NSI20150323,"Sphyraena spp.",0.005
13604,NSI20150323,"Creedia spp.",0.01
13604,NSI20150323,"Limnichthys spp.",0.005
13604,NSI20150323,"Callionymidae - undifferentiated",0.021
13604,NSI20150323,"Gobiidae - undifferentiated",0.026
13604,NSI20150323,"Engyprosopon spp.",0.021
13604,NSI20150323,"Cynoglossidae - undifferentiated",0.01
13605,NSI20150512,""Superclass" Pisces - undifferentiated",0.007
13605,NSI20150512,"Myctophidae - undifferentiated",0.007
13605,NSI20150512,"Bregmaceros spp.",0.007
13605,NSI20150512,"Atherinidae - undifferentiated",0.039
13605,NSI20150512,"Antigonia spp.",0.007
13605,NSI20150512,"Scorpaenidae - undifferentiated",0.02
13605,NSI20150512,"Apogonidae - undifferentiated",0.007
13605,NSI20150512,"Pomatomus saltatrix",0.007
13605,NSI20150512,"Carangidae - undifferentiated",0.013
13605,NSI20150512,"Mullidae - undifferentiated",0.007
13605,NSI20150512,"Liza argentea",0.007
13605,NSI20150512,"Labridae - undifferentiated",0.007
13605,NSI20150512,"Gobiidae - undifferentiated",0.007
13605,NSI20150512,"Engyprosopon spp.",0.007
13605,NSI20150512,"Cynoglossidae - undifferentiated",0.013
13605,NSI20150512,""Superclass" Pisces - undifferentiated",0.009
13605,NSI20150512,"Etrumeus teres",0.009
13605,NSI20150512,"Engraulis australis",0.009
13605,NSI20150512,"Melanostomiidae - undifferentiated",0.009
13605,NSI20150512,"Myctophidae - undifferentiated",0.098
13605,NSI20150512,"Scorpaenidae - undifferentiated",0.009
13605,NSI20150512,"Apogonidae - undifferentiated",0.009
13605,NSI20150512,"Lutjanidae - undifferentiated",0.009
13605,NSI20150512,"Haemulidae - undifferentiated",0.009
13605,NSI20150512,"Chaetodontidae - undifferentiated",0.009
13605,NSI20150512,"Labridae - undifferentiated",0.036
13605,NSI20150512,"Callionymidae - undifferentiated",0.027
13605,NSI20150512,"Gobiidae - undifferentiated",0.009
13605,NSI20150512,"Crossorhombus spp.",0.036
13605,NSI20150512,"Engyprosopon spp.",0.018
13605,NSI20150512,"Cynoglossidae - undifferentiated",0.009
13606,NSI20150528,""Superclass" Pisces - undifferentiated",0.007
13606,NSI20150528,"Engraulis australis",0.015
13606,NSI20150528,"Phosichthyidae - undifferentiated",0.007
13606,NSI20150528,"Myctophidae - undifferentiated",0.015
13606,NSI20150528,"Atherinidae - undifferentiated",0.138
13606,NSI20150528,"Carangidae - undifferentiated",0.007
13606,NSI20150528,"Trachurus novaezelandiae",0.007
13606,NSI20150528,"Lethrinus spp.",0.007
13606,NSI20150528,"Chaetodontidae - undifferentiated",0.007
13606,NSI20150528,"Pomacentridae - undifferentiated",0.036
13606,NSI20150528,"Liza argentea",0.007
13606,NSI20150528,"Labridae - undifferentiated",0.007
13606,NSI20150528,"Callionymidae - undifferentiated",0.029
13606,NSI20150528,"Tetraodontidae - undifferentiated",0.029
13606,NSI20150528,"Gonostomatidae - undifferentiated",0.012
13606,NSI20150528,"Melanostomiidae - undifferentiated",0.012
13606,NSI20150528,"Malacosteidae - undifferentiated",0.006
13606,NSI20150528,"Bregmaceros spp.",0.006
13606,NSI20150528,"Atherinidae - undifferentiated",0.262
13606,NSI20150528,"Platycephalidae - undifferentiated",0.006
13606,NSI20150528,"Pelates spp.",0.006
13606,NSI20150528,"Apogonidae - undifferentiated",0.006
13606,NSI20150528,"Sillago flindersi",0.006
13606,NSI20150528,"Pomatomus saltatrix",0.012
13606,NSI20150528,"Lethrinus spp.",0.006
13606,NSI20150528,"Acanthopagrus australis",0.006
13606,NSI20150528,"Pomacentridae - undifferentiated",0.03
13606,NSI20150528,"Sphyraena spp.",0.006
13606,NSI20150528,"Labridae - undifferentiated",0.006
13606,NSI20150528,"Callionymidae - undifferentiated",0.043
13606,NSI20150528,"Monacanthidae - undifferentiated",0.006
13606,NSI20150528,"Tetraodontidae - undifferentiated",0.006
13607,KAI20150224,"Engraulis australis",2.301
13607,KAI20150224,"Scomber australasicus",1.15
13607,KAI20150224,"Lophonectes gallus",3.451
13607,KAI20150224,"Engraulis australis",1.543
13607,KAI20150224,"Lophonectes gallus",0.772
13609,MAI20150421,""Superclass" Pisces - undifferentiated",0.002
13609,MAI20150421,"Sardinops sagax",0.133
13609,MAI20150421,"Gonostomatidae - undifferentiated",0.002
13609,MAI20150421,"Syngnathidae - undifferentiated",0.002
13609,MAI20150421,"Platycephalidae - undifferentiated",0.002
13609,MAI20150421,"Dinolestes lewini",0.005
13609,MAI20150421,"Trachurus declivis",0.002
13609,MAI20150421,"Nemadactylus macropterus",0.009
13609,MAI20150421,""Superclass" Pisces - undifferentiated",0.006
13609,MAI20150421,"Sardinops sagax",0.203
13609,MAI20150421,"Trachurus declivis",0.004
13609,MAI20150421,"Nemadactylus macropterus",0.034
13609,MAI20150421,"Mugilidae - undifferentiated",0.004
13609,MAI20150421,"Thyrsites atun",0.002
13609,MAI20150421,"Tetragonurus spp.",0.004
13609,MAI20150421,"Lophonectes gallus",0.002
13610,MAI20150526,""Superclass" Pisces - undifferentiated",0.003
13611,NSI20150624,""Superclass" Pisces - undifferentiated",0.012
13611,NSI20150624,"Myctophidae - undifferentiated",0.012
13611,NSI20150624,""Superclass" Pisces - undifferentiated",0.005
13611,NSI20150624,"Myctophidae - undifferentiated",0.011
13611,NSI20150624,"Macroramphosus spp.",0.016
13611,NSI20150624,"Serranidae subfam. Anthiinae",0.022
13611,NSI20150624,"Carangidae - undifferentiated",0.005
13611,NSI20150624,"Lutjanidae - undifferentiated",0.005
13611,NSI20150624,"Gobiidae - undifferentiated",0.005
13611,NSI20150624,"Scombridae - undifferentiated",0.005
13612,NSI20150731,""Superclass" Pisces - undifferentiated",0.006
13612,NSI20150731,"Sardinops sagax",0.012
13612,NSI20150731,"Gonostomatidae - undifferentiated",0.012
13612,NSI20150731,"Myctophidae - undifferentiated",0.006
13612,NSI20150731,"Macroramphosus spp.",0.041
13612,NSI20150731,"Scorpaenidae - undifferentiated",0.035
13612,NSI20150731,"Platycephalidae - undifferentiated",0.023
13612,NSI20150731,"Serranidae subfam. Anthiinae",0.127
13612,NSI20150731,"Serranidae subfam. Epinephelinae",0.006
13612,NSI20150731,"Pelates spp.",0.012
13612,NSI20150731,"Apogonidae - undifferentiated",0.006
13612,NSI20150731,"Trachurus novaezelandiae",0.914
13612,NSI20150731,"Lutjanidae - undifferentiated",0.006
13612,NSI20150731,"Nemipteridae - undifferentiated",0.006
13612,NSI20150731,"Acanthopagrus australis",0.023
13612,NSI20150731,"Mullidae - undifferentiated",0.006
13612,NSI20150731,"Atypichthys strigatus",0.006
13612,NSI20150731,"Chaetodontidae - undifferentiated",0.012
13612,NSI20150731,"Labridae - undifferentiated",0.069
13612,NSI20150731,"Callionymidae - undifferentiated",0.041
13612,NSI20150731,"Microdesmidae - undifferentiated",0.006
13612,NSI20150731,"Gempylidae - undifferentiated",0.006
13612,NSI20150731,"Scomber australasicus",0.035
13612,NSI20150731,"Pseudorhombus spp.",0.006
13612,NSI20150731,""Superclass" Pisces - undifferentiated",0.008
13612,NSI20150731,"Sardinops sagax",0.087
13612,NSI20150731,"Gonostomatidae - undifferentiated",0.032
13612,NSI20150731,"Myctophidae - undifferentiated",0.008
13612,NSI20150731,"Carapidae - undifferentiated",0.008
13612,NSI20150731,"Trachichthyidae - undifferentiated",0.008
13612,NSI20150731,"Macroramphosus spp.",0.127
13612,NSI20150731,"Scorpaenidae - undifferentiated",0.016
13612,NSI20150731,"Platycephalidae - undifferentiated",0.008
13612,NSI20150731,"Serranidae subfam. Anthiinae",0.056
13612,NSI20150731,"Pseudochromidae - undifferentiated",0.024
13612,NSI20150731,"Trachurus novaezelandiae",1.303
13612,NSI20150731,"Pseudocaranx georgianus",0.016
13612,NSI20150731,"Brama spp.",0.008
13612,NSI20150731,"Nemipteridae - undifferentiated",0.048
13612,NSI20150731,"Acanthopagrus australis",0.008
13612,NSI20150731,"Mullidae - undifferentiated",0.064
13612,NSI20150731,"Chaetodontidae - undifferentiated",0.008
13612,NSI20150731,"Cirrhitidae - undifferentiated",0.008
13612,NSI20150731,"Labridae - undifferentiated",0.334
13612,NSI20150731,"Petroscirtes lupus",0.008
13612,NSI20150731,"Callionymidae - undifferentiated",0.143
13612,NSI20150731,"Microdesmidae - undifferentiated",0.016
13612,NSI20150731,"Gempylidae - undifferentiated",0.008
13612,NSI20150731,"Scomber australasicus",0.103
13612,NSI20150731,"Monacanthidae - undifferentiated",0.024
13613,NSI20150817,"Sardinops sagax",0.061
13613,NSI20150817,"Synodontidae - undifferentiated",0.006
13613,NSI20150817,"Platycephalidae - undifferentiated",0.012
13613,NSI20150817,"Apogonidae - undifferentiated",0.006
13613,NSI20150817,"Trachurus novaezelandiae",0.368
13613,NSI20150817,"Lethrinus spp.",0.006
13613,NSI20150817,"Labridae - undifferentiated",0.012
13613,NSI20150817,"Callionymidae - undifferentiated",0.043
13613,NSI20150817,"Scomber australasicus",0.006
13613,NSI20150817,"Ostraciidae - undifferentiated",0.006
13613,NSI20150817,"Sardinops sagax",0.1
13613,NSI20150817,"Macroramphosus spp.",0.013
13613,NSI20150817,"Triglidae & Peristediidae - undifferentiated",0.006
13613,NSI20150817,"Platycephalidae - undifferentiated",0.006
13613,NSI20150817,"Serranidae subfam. Anthiinae",0.006
13613,NSI20150817,"Trachurus novaezelandiae",0.395
13613,NSI20150817,"Lutjanidae - undifferentiated",0.006
13613,NSI20150817,"Chrysophrys auratus",0.006
13613,NSI20150817,"Mullidae - undifferentiated",0.006
13613,NSI20150817,"Pempheris spp.",0.006
13613,NSI20150817,"Labridae - undifferentiated",0.019
13613,NSI20150817,"Callionymidae - undifferentiated",0.038
13613,NSI20150817,"Scomber australasicus",0.044
13613,NSI20150817,"Engyprosopon spp.",0.019
13614,NSI20150907,"Etrumeus teres",0.015
13614,NSI20150907,"Sardinops sagax",0.334
13614,NSI20150907,"Engraulis australis",0.01
13614,NSI20150907,"Synodontidae - undifferentiated",0.015
13614,NSI20150907,"Myctophidae - undifferentiated",0.01
13614,NSI20150907,"Macroramphosus spp.",0.005
13614,NSI20150907,"Triglidae & Peristediidae - undifferentiated",0.091
13614,NSI20150907,"Platycephalidae - undifferentiated",0.015
13614,NSI20150907,"Pegasus spp.",0.005
13614,NSI20150907,"Callanthias australis",0.01
13614,NSI20150907,"Serranidae subfam. Anthiinae",0.046
13614,NSI20150907,"Pelates spp.",0.01
13614,NSI20150907,"Trachurus novaezelandiae",0.567
13614,NSI20150907,"Nemipteridae - undifferentiated",0.015
13614,NSI20150907,"Lethrinus spp.",0.01
13614,NSI20150907,"Chrysophrys auratus",0.01
13614,NSI20150907,"Acanthopagrus australis",0.02
13614,NSI20150907,"Pomacentridae - undifferentiated",0.01
13614,NSI20150907,"Sphyraena spp.",0.005
13614,NSI20150907,"Labridae - undifferentiated",0.096
13614,NSI20150907,"Callionymidae - undifferentiated",0.005
13614,NSI20150907,"Gobiidae - undifferentiated",0.005
13614,NSI20150907,"Gempylidae - undifferentiated",0.005
13614,NSI20150907,"Scomber australasicus",0.066
13614,NSI20150907,"Engyprosopon spp.",0.071
13614,NSI20150907,"Cynoglossidae - undifferentiated",0.005
13614,NSI20150907,"Sardinops sagax",0.293
13614,NSI20150907,"Synodontidae - undifferentiated",0.007
13614,NSI20150907,"Myctophidae - undifferentiated",0.027
