SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_PER_M3
4906,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,56.5811
5494,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.8585
5719,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.5363
7307,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.8585
8585,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,117.8773
9975,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,14.1453
9730,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,14.1453
1243,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,32.1483
1363,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.0726
3313,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,1.837
9592,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,1.7682
1294,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,13.6012
3065,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,6.8006
1302,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,6.4297
1349,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,2.8291
1330,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,2.1432
1309,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,4.4204
1453,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,16.0742
1544,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.0311
1412,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,15.9134
1409,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,5.3045
1449,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.662
1382,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,10.1038
1534,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,22.9861
1587,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.9292
3140,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,12.5736
3143,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,14.7347
1488,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,4.5337
8872,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,11.7877
3095,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,4.7151
5460,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,23.5755
5625,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.7224
5497,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,30.6481
5523,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,1.2152
5761,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.6457
6666,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.5363
7353,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,16.8396
8428,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,8.2514
7910,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.2148
8570,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,2.8291
8338,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,11.7877
9393,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,28.2905
9592,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,30.0587
10651,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,47.1509
10270,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.7721
10164,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.8585
9837,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,16.9743
10409,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,6.4297
10332,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,1.7682
10848,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,25.2594
12685,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,6.4297
11505,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,39.7836
12618,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,61.2962
12979,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,11.7877
12701,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,12.8593
1363,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,45.9721
11424,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,14.1453
1302,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,51.4374
12962,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,42.4358
12635,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,23.5755
12837,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,21.2179
1096,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,16.2081
1107,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,0.7073
1113,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,16.2081
1129,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,4.5337
3448,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,1.1051
12652,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,4.7151
1234,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),34.5773
1306,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),0.8841
1315,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),0.1768
1319,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),55.0094
1321,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),39.2924
1392,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),15.717
1524,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.4297
1447,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),0.7578
1386,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.8585
1415,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),2.0208
1579,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),4.4204
1561,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
1573,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),23.5755
3107,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),51.0801
5516,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),39.2924
5526,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),0.4715
6666,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),10.609
6709,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),47.1509
7292,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.8585
8197,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),3.5363
9714,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.0726
10240,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),66.306
9637,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),22.102
10100,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
10363,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),62.8679
5445,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.4297
11910,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),47.1509
10680,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),47.1509
10715,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),8.0371
12040,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
12571,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.0726
10997,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),3.5363
11437,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),31.4339
11568,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
1306,Calanus australis f,COPEPOD,Copepod,Calanus,australis,5.3045
1447,Calanus australis f,COPEPOD,Copepod,Calanus,australis,8.3356
7599,Calanus australis f,COPEPOD,Copepod,Calanus,australis,20.2075
9409,Calanus australis f,COPEPOD,Copepod,Calanus,australis,4.7151
10270,Calanus australis f,COPEPOD,Copepod,Calanus,australis,1.886
9929,Calanus australis f,COPEPOD,Copepod,Calanus,australis,0.1813
10466,Calanus australis f,COPEPOD,Copepod,Calanus,australis,9.4302
12085,Calanus australis f,COPEPOD,Copepod,Calanus,australis,1.886
1096,Calanus australis m,COPEPOD,Copepod,Calanus,australis,2.9469
1309,Calanus australis m,COPEPOD,Copepod,Calanus,australis,2.9469
1767,Calanus australis m,COPEPOD,Copepod,Calanus,australis,1.1051
7353,Calanus australis m,COPEPOD,Copepod,Calanus,australis,0.6736
1359,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,3.5363
1384,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,10.609
12102,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,0.5097
12334,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,3.5363
10021,Aetideus acutus f,COPEPOD,Copepod,Aetideus,acutus,7.8585
1117,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,2.3575
1144,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,3.5363
1398,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,16.3215
1396,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,7.8585
11066,Lubbockia squillimana f,COPEPOD,Copepod,Lubbockia,squillimana,7.8585
12867,Lubbockia squillimana f,COPEPOD,Copepod,Lubbockia,squillimana,15.717
1164,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,1.8945
1238,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,3.5363
1219,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,7.5778
1303,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,2.9469
1308,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,1.4735
1447,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,6.3149
1409,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,1.7682
1449,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,11.7877
1534,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,70.7264
3140,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,29.8622
4913,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,4.2436
7615,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,12.5736
8008,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,42.4358
9929,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,0.1813
10969,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,31.1196
12618,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,56.5811
12652,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,28.2905
11610,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,3.5363
12085,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,5.6581
1219,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,16.4186
1217,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,6.1886
1255,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,1.0104
1307,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,14.1453
1357,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,0.2105
1447,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,0.7578
5460,Clytemnestra scutellata m,COPEPOD,Copepod,Clytemnestra,scutellata,1.5717
8750,Clytemnestra spp. j,COPEPOD,Copepod,Clytemnestra,spp.,3.5363
11451,Clytemnestra spp. j,COPEPOD,Copepod,Clytemnestra,spp.,3.5363
1095,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),4.4204
1113,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2.9469
11596,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),3.9292
1138,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1.7682
1244,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),4.2864
1293,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1.6001
1364,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1.0104
1418,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),0.3536
1391,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),7.8585
7894,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2.3575
10774,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),7.6876
10537,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),87.3165
1080,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),3.2148
1114,Calanoid j,COPEPOD,Copepod,(null),(null),27.9959
1087,Calanoid j,COPEPOD,Copepod,(null),(null),189.6752
1124,Calanoid j,COPEPOD,Copepod,(null),(null),268.7602
1216,Calanoid j,COPEPOD,Copepod,(null),(null),53.0448
1236,Calanoid j,COPEPOD,Copepod,(null),(null),1203.7082
1290,Calanoid j,COPEPOD,Copepod,(null),(null),359.0723
1356,Calanoid j,COPEPOD,Copepod,(null),(null),125.5393
1315,Calanoid j,COPEPOD,Copepod,(null),(null),18.212
11409,Calanoid j,COPEPOD,Copepod,(null),(null),205.7494
1350,Calanoid j,COPEPOD,Copepod,(null),(null),8.1014
1301,Calanoid j,COPEPOD,Copepod,(null),(null),492.9413
1309,Calanoid j,COPEPOD,Copepod,(null),(null),39.7836
1417,Calanoid j,COPEPOD,Copepod,(null),(null),1176.6294
1359,Calanoid j,COPEPOD,Copepod,(null),(null),39.4889
1410,Calanoid j,COPEPOD,Copepod,(null),(null),43.8503
1555,Calanoid j,COPEPOD,Copepod,(null),(null),2278.9605
1386,Calanoid j,COPEPOD,Copepod,(null),(null),214.7986
1764,Calanoid j,COPEPOD,Copepod,(null),(null),533.6625
1382,Calanoid j,COPEPOD,Copepod,(null),(null),307.1545
1435,Calanoid j,COPEPOD,Copepod,(null),(null),612.055
1534,Calanoid j,COPEPOD,Copepod,(null),(null),116.6985
3270,Calanoid j,COPEPOD,Copepod,(null),(null),829.4273
3143,Calanoid j,COPEPOD,Copepod,(null),(null),100.1957
4906,Calanoid j,COPEPOD,Copepod,(null),(null),544.593
1441,Calanoid j,COPEPOD,Copepod,(null),(null),1302.008
3292,Calanoid j,COPEPOD,Copepod,(null),(null),424.3582
1782,Calanoid j,COPEPOD,Copepod,(null),(null),1.5206
3050,Calanoid j,COPEPOD,Copepod,(null),(null),164.547
3068,Calanoid j,COPEPOD,Copepod,(null),(null),374.1322
5460,Calanoid j,COPEPOD,Copepod,(null),(null),15.717
5475,Calanoid j,COPEPOD,Copepod,(null),(null),27.2427
5631,Calanoid j,COPEPOD,Copepod,(null),(null),22.765
7494,Calanoid j,COPEPOD,Copepod,(null),(null),1863.3676
5517,Calanoid j,COPEPOD,Copepod,(null),(null),212.1791
5915,Calanoid j,COPEPOD,Copepod,(null),(null),293.7864
